year,league,team,pf_5yr,pred_RS,pred_RA,actual_W,actual_RS,actual_RA,median_wins,ci_lo,ci_hi,covered,error
2022,PL,楽天,0.974,585.6,571.6,69.0,533.0,522.0,73.0,60.5,86.0,True,4.0
2022,PL,西武,1.098,503.2,539.6,72.0,464.0,448.0,67.0,52.9,81.5,True,-5.0
2023,CL,DeNA,1.076,529.6,505.4,74.0,520.0,496.0,74.6,60.0,89.1,True,0.6
2023,CL,ヤクルト,1.132,552.4,501.3,57.0,534.0,567.0,78.0,64.0,91.9,False,21.0
2023,CL,中日,0.844,516.4,551.3,56.0,390.0,498.0,67.2,53.3,81.4,True,11.2
2023,CL,巨人,1.067,540.4,490.3,71.0,523.0,507.0,78.2,63.5,92.3,True,7.2
2023,CL,広島,0.954,529.0,547.9,74.0,493.0,508.0,69.2,55.0,83.3,True,-4.8
2023,CL,阪神,0.949,514.2,498.8,85.0,555.0,424.0,73.6,58.8,88.3,True,-11.4
2023,PL,オリックス,0.954,502.5,492.4,86.0,508.0,428.0,72.9,57.9,87.8,True,-13.1
2023,PL,ソフトバンク,1.005,532.0,505.7,71.0,536.0,507.0,74.9,60.1,89.1,True,3.9
2023,PL,ロッテ,1.081,480.4,510.1,70.0,505.0,524.0,67.4,52.5,82.7,True,-2.6
2023,PL,日本ハム,0.969,470.3,515.8,60.0,464.0,496.0,65.4,50.4,80.6,True,5.4
2023,PL,楽天,0.939,548.6,552.5,70.0,513.0,556.0,71.1,57.5,84.6,True,1.1
2023,PL,西武,1.023,449.6,501.5,65.0,435.0,465.0,64.6,48.8,80.2,True,-0.4
2024,CL,DeNA,1.094,503.1,504.0,71.0,522.0,503.0,71.9,56.5,86.7,True,0.9
2024,CL,ヤクルト,1.153,535.6,506.1,62.0,506.0,556.0,75.3,60.7,89.7,True,13.3
2024,CL,中日,0.827,519.5,556.5,60.0,373.0,478.0,67.0,53.2,80.9,True,7.0
2024,CL,巨人,1.008,541.2,503.6,77.0,462.0,381.0,76.1,61.6,90.2,True,-0.9
2024,CL,広島,0.973,490.4,534.8,68.0,415.0,419.0,65.9,51.3,80.7,True,-2.1
2024,CL,阪神,0.948,539.7,498.3,74.0,485.0,420.0,76.6,61.8,91.0,True,2.6
2024,PL,オリックス,0.949,550.0,496.3,63.0,402.0,448.0,78.3,63.9,92.1,False,15.3
2024,PL,ソフトバンク,0.996,550.0,517.5,91.0,607.0,390.0,75.6,61.5,89.4,False,-15.4
2024,PL,ロッテ,1.127,489.8,502.2,71.0,493.0,495.0,69.8,54.8,85.0,True,-1.2
2024,PL,日本ハム,1.089,474.3,492.7,75.0,532.0,485.0,69.0,53.2,84.1,True,-6.0
2024,PL,楽天,0.937,532.5,556.5,67.0,492.0,579.0,68.7,54.8,82.4,True,1.7
2024,PL,西武,0.986,437.4,498.3,49.0,350.0,485.0,63.1,47.2,79.0,True,14.1
2025,CL,DeNA,1.102,500.2,483.4,71.0,510.0,456.0,73.5,58.5,88.9,True,2.5
2025,CL,ヤクルト,1.129,506.6,500.6,57.0,443.0,564.0,72.4,57.2,87.1,False,15.4
2025,CL,中日,0.844,516.5,534.9,63.0,403.0,463.0,69.2,55.0,83.3,True,6.2
2025,CL,巨人,0.981,513.8,487.0,70.0,463.0,461.0,75.0,60.2,90.1,True,5.0
2025,CL,広島,0.996,443.4,488.4,59.0,441.0,497.0,65.1,48.8,81.1,True,6.1
2025,CL,阪神,0.942,527.9,467.6,85.0,496.0,352.0,79.3,64.5,94.1,True,-5.7
2025,PL,オリックス,0.943,500.6,482.4,74.0,502.0,519.0,73.8,58.8,89.1,True,-0.2
2025,PL,ソフトバンク,1.007,534.8,476.1,87.0,551.0,389.0,79.3,64.3,93.9,True,-7.7
2025,PL,ロッテ,1.097,460.6,502.1,56.0,441.0,553.0,65.7,50.4,81.2,True,9.7
2025,PL,日本ハム,1.147,475.4,461.9,83.0,548.0,409.0,73.4,57.2,89.4,True,-9.6
2025,PL,楽天,0.908,494.5,541.3,67.0,446.0,526.0,65.6,51.1,79.7,True,-1.4
2025,PL,西武,0.962,428.4,479.3,63.0,410.0,465.0,64.3,47.9,80.8,True,1.3
