year,team,actual_PA,model_PA,PA_cov,actual_IP,model_IP,IP_cov,actual_RS,model_RS_raw,actual_RA,model_RA_raw,actual_W,n_hitters,n_pitchers
2022,日本ハム,5177,5850,113.0,1266.0,1177.0,93.0,463.0,573.0,534.0,467.0,59,31,24
2022,楽天,5458,4165,76.3,1279.7,1241.0,97.0,533.0,457.1,522.0,481.7,69,15,23
2022,西武,5201,4974,95.6,1273.3,1253.7,98.5,464.0,517.8,448.0,517.3,72,23,20
2022,阪神,5323,5059,95.0,1281.0,1300.7,101.5,489.0,518.2,428.0,486.4,68,24,25
2023,DeNA,5331,5504,103.2,1289.3,1295.3,100.5,520.0,579.8,496.0,496.9,74,25,24
2023,オリックス,5324,4934,92.7,1290.0,1288.7,99.9,508.0,491.9,428.0,431.8,86,23,24
2023,ソフトバンク,5454,4752,87.1,1279.7,1372.0,107.2,536.0,499.3,507.0,481.3,71,22,24
2023,ヤクルト,5358,5087,94.9,1267.7,1193.0,94.1,534.0,560.7,567.0,459.1,57,22,20
2023,ロッテ,5414,4670,86.3,1283.0,1119.7,87.3,505.0,470.9,524.0,410.5,70,18,21
2023,中日,5251,4939,94.1,1287.3,1282.0,99.6,390.0,494.3,498.0,468.2,56,25,28
2023,巨人,5352,5551,103.7,1276.3,1377.0,107.9,523.0,602.3,507.0,530.8,71,25,28
2023,広島,5241,5093,97.2,1275.0,1235.3,96.9,493.0,532.6,508.0,463.6,74,24,23
2023,日本ハム,5248,5770,109.9,1268.7,1168.0,92.1,464.0,588.8,496.0,418.9,60,28,22
2023,楽天,5369,4807,89.5,1268.7,1381.0,108.9,513.0,503.7,556.0,527.5,70,16,22
2023,西武,5222,5400,103.4,1270.0,1246.3,98.1,435.0,527.1,465.0,439.6,65,27,22
2023,阪神,5479,5296,96.7,1288.0,1147.7,89.1,555.0,537.0,424.0,382.0,85,23,21
2024,DeNA,5393,5750,106.6,1285.3,1188.7,92.5,522.0,609.9,503.0,447.9,71,27,22
2024,オリックス,5208,4321,83.0,1267.7,1205.3,95.1,402.0,440.0,448.0,430.1,63,19,24
2024,ソフトバンク,5436,5030,92.5,1289.3,1398.3,108.5,607.0,518.5,390.0,466.7,91,23,25
2024,ヤクルト,5343,4781,89.5,1259.3,1290.3,102.5,506.0,514.4,556.0,491.3,62,25,25
2024,ロッテ,5386,4407,81.8,1276.3,1407.7,110.3,493.0,445.9,495.0,500.9,71,18,30
2024,中日,5277,5167,97.9,1288.0,1296.7,100.7,373.0,497.4,478.0,431.3,60,25,23
2024,巨人,5350,5811,108.6,1289.0,1170.0,90.8,462.0,608.4,381.0,430.2,77,31,18
2024,広島,5193,5396,103.9,1280.0,1291.7,100.9,415.0,551.7,419.0,472.5,68,25,23
2024,日本ハム,5364,4753,88.6,1305.0,1282.7,98.3,532.0,474.5,485.0,456.0,75,19,25
2024,楽天,5350,5545,103.6,1276.7,1168.7,91.5,492.0,574.7,579.0,423.9,67,20,21
2024,西武,5127,5172,100.9,1277.0,1208.0,94.6,350.0,506.1,485.0,425.6,49,27,21
2024,阪神,5335,5161,96.7,1283.7,1235.3,96.2,485.0,527.3,420.0,372.2,74,21,19
2025,DeNA,5236,4755,90.8,1278.0,1300.3,101.7,510.0,493.1,456.0,445.7,71,22,22
2025,オリックス,5448,5828,107.0,1289.7,1066.7,82.7,502.0,589.9,519.0,338.8,74,23,25
2025,ソフトバンク,5338,5964,111.7,1279.0,1322.0,103.4,551.0,606.7,389.0,419.2,87,27,19
2025,ヤクルト,5302,4861,91.7,1282.0,1312.0,102.3,443.0,488.0,564.0,497.4,57,25,26
2025,ロッテ,5272,4820,91.4,1271.0,1127.0,88.7,441.0,482.7,553.0,404.1,56,21,22
2025,中日,4900,4670,95.3,1277.3,1329.3,104.1,403.0,450.8,463.0,436.2,63,27,23
2025,巨人,5318,4884,91.8,1279.0,1083.7,84.7,463.0,488.7,461.0,359.5,70,23,22
2025,広島,5238,5073,96.8,1272.7,1412.7,111.0,441.0,488.8,497.0,472.2,59,25,22
2025,日本ハム,5253,5007,95.3,1293.0,1379.0,106.7,548.0,520.5,409.0,485.4,83,20,26
2025,楽天,4905,4619,94.2,1285.3,1133.7,88.2,446.0,452.4,526.0,426.2,67,17,20
2025,西武,5259,4330,82.3,1280.3,1236.0,96.5,410.0,406.4,465.0,403.7,63,20,23
2025,阪神,5412,4933,91.1,1305.0,1317.3,100.9,496.0,506.5,352.0,409.9,85,20,26
