npb_name,origin_country_ja,origin_country_en,likely_origin_league,npb_first_year,first_team,player_type,position,english_name,mlb_id,npb_first_year_PA,npb_first_year_AVG,npb_first_year_OPS,npb_first_year_wOBA,npb_first_year_ERA,npb_first_year_IP,npb_first_year_WHIP
マラー,,,Unknown,2025,中日,pitcher,,,,,,,,3.54,101.2,1.28
マルク,,,Unknown,2020,中日,pitcher,,,,,,,,12.00,3.0,2.67
マルセリーノ,ドミニカ共和国,Dominican Republic,MLB,2022,DeNA,pitcher,投手,,,,,,,,,
マルテ,,,Unknown,2019,阪神,hitter,,,,412,0.284,0.825,0.3721,,,
マルティネス,キューバ,Cuba,Cuba,2018,巨人,pitcher,捕手,,,,,,,3.51,161.2,1.29
マルモレホス,,,Unknown,2022,楽天,hitter,,,,223,0.208,0.62,0.2855,,,
マレーロ,,,Unknown,2017,オリックス,hitter,,,,319,0.29,0.925,0.4080,,,
マーティン,キューバ,Cuba,Cuba,2016,西武,hitter,外野手,,,,,,,,,
マートン,,,Unknown,2015,,hitter,,,,583,0.276,0.691,0.3180,,,
マーフィー,アメリカ,USA,MLB,2024,日本ハム,pitcher,投手,,,,,,,3.26,38.2,1.19
マーベル,,,Unknown,2023,日本ハム,pitcher,,,,,,,,2.49,21.2,1.38
ミエセス,ドミニカ共和国,Dominican Republic,MLB,2023,阪神,hitter,外野手,,,143,0.222,0.666,0.3073,,,
ミゲル・メヒア,,,Unknown,2015,,pitcher,,,,,,,,14.73,3.2,3.55
ミコライオ,,,Unknown,2016,,pitcher,,,,,,,,2.38,45.1,0.95
ミッシュ,,,Unknown,2016,,pitcher,,,,,,,,8.44,5.1,2.63
ミランダ,,,Unknown,2018,ソフトバンク,pitcher,,,,,,,,1.89,47.2,1.15
ミレッジ,,,Unknown,2015,,hitter,,,,81,0.211,0.562,0.2620,,,
ムリーロ,,,Unknown,2015,,hitter,,,,37,0.313,0.749,0.3577,,,
ムーア,,,Unknown,2020,ソフトバンク,pitcher,,,,,,,,2.65,78.0,1.10
メッセンジャー,,,Unknown,2015,阪神,pitcher,,,,,,,,2.97,193.2,1.15
メネズ,,,Unknown,2022,日本ハム,pitcher,,,,,,,,1.08,25.0,1.08
メネセス,,,Unknown,2019,オリックス,hitter,,,,118,0.206,0.651,0.2939,,,
メヒア,パナマ,Panama,MLB,2015,広島,hitter,投手,,,525,0.235,0.778,0.3537,,,
メルセデス,ドミニカ共和国,Dominican Republic,MLB,2018,巨人,pitcher,投手,,,,,,,2.05,92.0,0.92
メンデス,ベネズエラ,Venezuela,MLB,2017,巨人,pitcher,投手,,,,,,,6.52,9.2,1.55
メンドーサ,,,Unknown,2015,,pitcher,,,,,,,,3.00,3.0,1.33
モイネロ,キューバ,Cuba,Cuba,2017,ソフトバンク,pitcher,投手,,,,,,,2.52,35.2,0.98
モスコーソ,,,Unknown,2015,,pitcher,,,,,,,,5.19,60.2,1.47
モタ,,,Unknown,2019,巨人,hitter,,,,,,,,,,
モヤ,,,Unknown,2018,オリックス,hitter,,,,101,0.301,0.787,0.3510,,,
モレノ,,,Unknown,2018,阪神,pitcher,,,,,,,,2.70,6.2,1.65
モレル,,,Unknown,2016,,hitter,,,,348,0.244,0.683,0.3172,,,
モンティージャ,,,Unknown,2019,広島,pitcher,,,,,,,,14.54,4.1,3.46
モンテス,アメリカ,USA,MLB,2024,巨人,hitter,内野手,,,159,0.272,0.699,0.3225,,,
モンテロ,,,Unknown,2025,広島,hitter,,,,396,0.255,0.692,0.3163,,,
ヤフーレ,ベネズエラ,Venezuela,MLB,2024,ヤクルト,pitcher,投手,,,,,,,3.34,129.1,1.34
ヤン,ドミニカ共和国,Dominican Republic,MLB,2024,西武,pitcher,投手,,,,,,,5.58,30.2,1.66
ヤングマン,,,Unknown,2018,巨人,pitcher,,,,,,,,2.77,26.0,1.31
ライブリー,,,Unknown,2015,,pitcher,,,,,,,,5.30,18.2,1.82
ラベロ,,,Unknown,2021,オリックス,hitter,,,,7,0.429,0.857,0.3882,,,
ランバート,,,Unknown,2025,ヤクルト,pitcher,,,,,,,,4.26,116.1,1.5
リズ,,,Unknown,2016,,pitcher,,,,,,,,6.94,11.2,2.23
リベロ,,,Unknown,2017,,hitter,,,,208,0.215,0.595,0.2660,,,
ルナ,,,Unknown,2015,,hitter,,,,564,0.292,0.764,0.3549,,,
ルブラン,,,Unknown,2015,,pitcher,,,,,,,,4.23,44.2,1.37
ルーキ,,,Unknown,2016,,pitcher,,,,,,,,3.06,64.2,1.33
レアード,,,Unknown,2015,日本ハム,hitter,,,,554,0.231,0.789,0.3570,,,
レイ,,,Unknown,2015,ソフトバンク,pitcher,,,,,,,,3.79,107.0,1.29
レイエス,ドミニカ共和国,Dominican Republic,MLB,2024,日本ハム,hitter,外野手,,,368,0.29,0.912,0.4115,,,
レイノルズ,アメリカ,USA,MLB,2024,広島,hitter,内野手,,,6,0.0,0.167,0.1211,,,
レイビン,,,Unknown,2019,ロッテ,pitcher,,,,,,,,27.00,1.2,3.60
レグナルト,,,Unknown,2019,広島,pitcher,,,,,,,,3.34,59.1,1.47
レビーラ,,,Unknown,2022,中日,hitter,,,,66,0.203,0.509,0.2319,,,
ロサリオ,,,Unknown,2015,阪神,hitter,,,,136,0.258,0.67,0.3146,,,
ロジャース,,,Unknown,2017,,hitter,,,,140,0.252,0.759,0.3408,,,
ロドリゲス,ドミニカ共和国,Dominican Republic,MLB,2018,中日,pitcher,投手,,,,,,,2.30,27.1,1.32
ロハス・ジュニア,,,Unknown,2021,阪神,hitter,,,,206,0.217,0.663,0.3016,,,
ロペス,ドミニカ共和国,Dominican Republic,MLB,2015,DeNA,hitter,投手,,,565,0.291,0.843,0.3824,,,
ロマック,,,Unknown,2016,,hitter,,,,85,0.113,0.374,0.2016,,,
ロマン,,,Unknown,2015,,pitcher,,,,,,,,2.40,78.2,1.28
ロメロ,,,Unknown,2017,オリックス,hitter,,,,424,0.274,0.838,0.3727,,,
ロンドン,,,Unknown,2017,,pitcher,,,,,,,,5.79,4.2,1.93
ローチ,,,Unknown,2018,オリックス,pitcher,,,,,,,,5.01,50.1,1.55
ローレンス,,,Unknown,2019,広島,pitcher,,,,,,,,10.80,5.0,1.60
ワカマツ,,,Unknown,2021,中日,hitter,,,,,,,,,,
ワグナー,,,Unknown,2018,西武,pitcher,,,,,,,,4.22,32.0,1.63
ワゲスパック,,,Unknown,2022,オリックス,pitcher,,,,,,,,2.97,72.2,1.27
松元ユウイチ,,,Unknown,2015,,hitter,,,,51,0.17,0.428,0.2031,,,
菊地ハルン,,,Unknown,2025,広島,pitcher,,,,,,,,2.25,4.0,0.75
金伏ウーゴ,,,Unknown,2015,,pitcher,,,,,,,,36.00,1.0,5.00
Ａ．マルティネス,,,Unknown,2018,中日,hitter,,,,,,,,,,
Ｂ．ロドリゲス,,,Unknown,2021,日本ハム,pitcher,,,,,,,,2.74,46.0,1.30
ＤＪ．ジョンソン,,,Unknown,2020,楽天,pitcher,,,,,,,,3.07,14.2,1.30
Ｅ．ラミレス,,,Unknown,2025,西武,pitcher,,,,,,,,1.01,26.2,1.05
Ｋ．ケラー,,,Unknown,2023,阪神,pitcher,,,,,,,,1.71,26.1,1.44
Ｋ．ジョンソン,,,Unknown,2020,広島,pitcher,,,,,,,,6.10,51.2,1.65
Ｒ．マルティネス,,,Unknown,2018,中日,pitcher,,,,,,,,,,
Ｒ．ロドリゲス,,,Unknown,2021,日本ハム,hitter,,,,125,0.197,0.642,0.2830,,,
