npb_name,origin_country_ja,origin_country_en,likely_origin_league,npb_first_year,first_team,player_type,position,english_name,mlb_id,npb_first_year_PA,npb_first_year_AVG,npb_first_year_OPS,npb_first_year_wOBA,npb_first_year_ERA,npb_first_year_IP,npb_first_year_WHIP
ガルシア,ドミニカ共和国,Dominican Republic,MLB,2016,中日,hitter,外野手,,,7,0.0,0.0,,,,
ガルセス,,,Unknown,2017,,pitcher,,,,,,,,6.39,31.0,1.52
ガルビス,,,Unknown,2022,ソフトバンク,hitter,,,,130,0.171,0.528,0.2578,,,
ガンケル,,,Unknown,2020,阪神,pitcher,,,,,,,,3.18,56.2,1.18
ガーバー,,,Unknown,2021,中日,hitter,,,,46,0.156,0.352,0.1620,,,
キブレハン,,,Unknown,2022,ヤクルト,hitter,,,,87,0.241,0.758,0.3347,,,
キャベッジ,,,Unknown,2025,巨人,hitter,,,,476,0.267,0.781,0.3561,,,
キャンデラリオ,,,Unknown,2017,,pitcher,,,,,,,,21.00,3.0,3.67
キャンベル,,,Unknown,2017,,hitter,,,,54,0.191,0.594,0.2805,,,
ギッテンス,,,Unknown,2022,楽天,hitter,,,,74,0.242,0.639,0.3111,,,
ギャレット,,,Unknown,2016,西武,pitcher,,,,,,,,,,
ギルメット,,,Unknown,2017,,pitcher,,,,,,,,3.62,54.2,1.17
クック,,,Unknown,2019,巨人,pitcher,,,,,,,,4.80,15.0,1.67
クライン,,,Unknown,2017,,pitcher,,,,,,,,4.75,36.0,1.58
クラーク,,,Unknown,2016,,hitter,,,,34,0.172,0.708,0.3276,,,
クリスキー,,,Unknown,2022,DeNA,pitcher,,,,,,,,2.57,21.0,1.33
クルーズ,,,Unknown,2015,,hitter,,,,532,0.255,0.691,0.3147,,,
クロッタ,,,Unknown,2015,,pitcher,,,,,,,,6.59,28.2,1.92
クロン,,,Unknown,2021,広島,hitter,,,,137,0.231,0.701,0.3133,,,
クロール,,,Unknown,2022,巨人,pitcher,,,,,,,,3.86,21.0,1.29
グスマン,,,Unknown,2015,,hitter,,,,116,0.23,0.756,0.3505,,,
グラシアル,,,Unknown,2018,ソフトバンク,hitter,,,,202,0.292,0.828,0.3673,,,
グリフィン,アメリカ,USA,MLB,2023,巨人,pitcher,投手,,,,,,,2.75,121.0,1.07
グリーン,,,Unknown,2017,,hitter,,,,81,0.194,0.59,0.2765,,,
ケイ,アメリカ,USA,MLB,2024,DeNA,pitcher,投手,,,,,,,3.42,136.2,1.34
ケムナ誠,アメリカ,USA,MLB,2018,広島,pitcher,投手,,,,,,,,,
ケラー,アメリカ,USA,MLB,2022,阪神,pitcher,投手,,,,,,,3.31,32.2,0.92
ゲラ,パナマ,Panama,MLB,2024,阪神,pitcher,投手,,,,,,,1.55,58.0,1.0
ゲレーロ,,,Unknown,2017,巨人,hitter,,,,510,0.279,0.896,0.3949,,,
コットン,,,Unknown,2023,オリックス,pitcher,,,,,,,,5.89,18.1,1.53
コラス,,,Unknown,2018,ソフトバンク,hitter,,,,,,,,,,
コラレス,,,Unknown,2017,楽天,pitcher,,,,,,,,15.00,3.0,3.67
コルデロ,ドミニカ共和国,Dominican Republic,MLB,2019,DeNA,hitter,投手,,,,,,,,,
コルニエル,ドミニカ共和国,Dominican Republic,MLB,2020,広島,pitcher,投手,,,,,,,,,
コーク,,,Unknown,2017,,pitcher,,,,,,,,4.56,23.2,1.69
コーディエ,,,Unknown,2016,,pitcher,,,,,,,,7.3,12.1,2.11
コール,,,Unknown,2022,ヤクルト,pitcher,,,,,,,,2.75,36.0,1.08
ゴメス,,,Unknown,2015,,hitter,,,,601,0.271,0.787,0.3654,,,
ゴンサレス,,,Unknown,2020,中日,pitcher,,,,,,,,4.78,26.1,1.63
ゴンザレス,ベネズエラ,Venezuela,MLB,2023,オリックス,hitter,内野手,,,321,0.217,0.65,0.2963,,,
ゴームズ,,,Unknown,2016,,hitter,,,,75,0.169,0.526,0.2592,,,
サイスニード,アメリカ,USA,MLB,2021,ヤクルト,pitcher,投手,,,,,,,3.41,68.2,1.21
サターホワイト,,,Unknown,2016,,pitcher,,,,,,,,2.57,21.0,1.29
サファテ,,,Unknown,2015,ソフトバンク,pitcher,,,,,,,,1.11,64.2,0.63
サブロー,,,Unknown,2015,,hitter,,,,52,0.217,0.612,0.2930,,,
サモンズ,,,Unknown,2025,ロッテ,pitcher,,,,,,,,3.78,85.2,1.34
サンズ,,,Unknown,2020,阪神,hitter,,,,443,0.257,0.814,0.3707,,,
サンタナ,ドミニカ共和国,Dominican Republic,MLB,2019,広島,hitter,外野手,,,34,0.182,0.388,0.1797,,,
サンチェス,,,Unknown,2015,巨人,pitcher,,,,,,,,,,
サンティアゴ,,,Unknown,2015,,pitcher,,,,,,,,4.32,16.2,1.62
サントス,,,Unknown,2017,ロッテ,hitter,,,,193,0.25,0.637,0.2879,,,
ザガースキー,,,Unknown,2015,,pitcher,,,,,,,,2.40,15.0,1.33
ザバラ,ドミニカ共和国,Dominican Republic,MLB,2024,日本ハム,pitcher,投手,,,,,,,1.2,15.0,1.0
シアーホルツ,,,Unknown,2015,,hitter,,,,248,0.25,0.734,0.3351,,,
シェッパーズ,,,Unknown,2018,ロッテ,pitcher,,,,,,,,4.54,37.2,1.65
シエラ,,,Unknown,2020,中日,hitter,,,,94,0.225,0.617,0.2955,,,
シャイナー,アメリカ,USA,MLB,2024,広島,hitter,内野手,,,31,0.133,0.428,0.1977,,,
シャッケルフォード,,,Unknown,2021,DeNA,pitcher,,,,,,,,5.17,31.1,1.40
シュウィンデル,,,Unknown,2023,オリックス,hitter,,,,70,0.188,0.461,0.2053,,,
シュリッター,,,Unknown,2017,,pitcher,,,,,,,,2.83,63.2,1.37
シューメーカー,,,Unknown,2022,巨人,pitcher,,,,,,,,4.25,95.1,1.28
シリアコ,,,Unknown,2017,,hitter,,,,28,0.074,0.218,0.1041,,,
ジェフン,,,Unknown,2016,,hitter,,,,42,0.225,0.537,0.2503,,,
ジェンセン,,,Unknown,2017,,hitter,,,,14,0.083,0.548,0.2552,,,
