english_name,npb_name,origin_league,season,PA,AVG,OBP,SLG,OPS,wOBA,HR,IP,ERA,FIP,K_pct,BB_pct,WHIP
Jesús Tinoco,ティノコ,MLB,2022,,,,,,,,20.2,2.18,4.23,21.4,11.9,1.06
Eric Thames,テームズ,MLB,2020,140,0.203,0.300,0.317,0.617,0.276,3,,,,,,
Alex Dickerson,ディカーソン,Independent,2022,36,0.121,0.194,0.212,0.407,0.189,1,,,,,,
Matt Davidson,デビッドソン,MLB,2022,37,0.147,0.216,0.324,0.540,0.240,2,,,,,,
Steve Delabar,デラバー,MLB,2015,,,,,,,,29.1,5.22,4.84,23.3,10.9,1.43
Rubby De La Rosa,デラロサ,MLB,2016,,,,,,,,50.2,4.26,4.49,24.3,9.0,1.24
J.D. Davis,デービス,MLB,2024,157,0.218,0.293,0.338,0.631,0.282,4,,,,,,
Michael Tonkin,トンキン,MLB,2017,,,,,,,,21.0,5.14,6.44,24.7,12.4,1.62
Cody Thomas,トーマス,AAA,2023,46,0.238,0.304,0.381,0.685,0.300,1,,,,,,
Efren Navarro,ナバーロ,MLB,2015,88,0.253,0.295,0.301,0.597,0.261,0,,,,,,
Zach Neal,ニール,MLB,2017,,,,,,,,14.2,7.98,6.43,15.4,1.5,1.36
Renato Núñez,ヌニエス,MLB,2021,55,0.189,0.218,0.472,0.690,0.287,4,,,,,,
Dovydas Neverauskas,ネバラスカス,MLB,2020,,,,,,,,19.0,7.11,5.77,25.8,11.2,1.79
Tyler Nevin,ネビン,MLB,2024,278,0.204,0.288,0.331,0.618,0.276,7,,,,,,
Nick Nelson,ネルソン,MLB,2022,,,,,,,,68.2,4.85,3.04,22.5,11.8,1.49
Sheldon Neuse,ノイジー,MLB,2022,293,0.214,0.273,0.288,0.561,0.253,4,,,,,,
Scott Heineman,ハイネマン,MLB,2020,54,0.154,0.185,0.269,0.454,0.197,1,,,,,,
Thomas Hatch,ハッチ,MLB,2023,,,,,,,,28.2,4.08,3.71,20.2,9.3,1.57
Spencer Howard,ハワード,MLB,2024,,,,,,,,29.0,6.21,4.99,18.8,9.7,2.00
Justin Hancock,ハンコック,MLB,2018,,,,,,,,12.1,1.46,4.62,22.4,18.4,1.14
Grant Hartwig,ハートウィグ,MLB,2023,,,,,,,,35.1,4.84,4.44,19.0,9.5,1.39
Frank Herrmann,ハーマン,MLB,2016,,,,,,,,15.0,8.40,8.55,20.3,7.2,1.67
Taylor Hearn,ハーン,MLB,2023,,,,,,,,15.0,11.40,6.32,19.7,10.5,2.07
Trevor Bauer,バウアー,MLB,2021,,,,,,,,107.2,2.59,4.03,31.7,8.6,1.00
Mike Baumann,バウマン,MLB,2024,,,,,,,,58.1,5.55,4.83,22.0,10.6,1.49
