,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
cf_mu,1.307,0.063,1.188,1.419,0.004,0.002,206.0,796.0,1.01
cf_sigma,0.098,0.056,0.028,0.203,0.005,0.002,77.0,41.0,1.03
sigma_obs,0.095,0.013,0.075,0.121,0.001,0.001,145.0,284.0,1.01
