player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,SLG,OBP,team,year
星 知弥,24,32,27,0,2,0,0,0,2,0,0,0,4,0,0,0,0,22,0,0.074,0.074,0.074,ヤクルト,2017
三輪 正義,16,6,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,ヤクルト,2017
谷内 亮太,42,104,91,6,18,2,0,0,20,7,0,0,4,0,9,0,0,19,3,0.198,0.22,0.27,ヤクルト,2017
山崎 晃大朗,59,246,219,30,53,10,2,1,70,13,6,5,9,0,18,0,0,44,3,0.242,0.32,0.3,ヤクルト,2017
山田 哲人,143,624,526,79,130,25,1,24,229,78,14,4,0,1,91,1,6,132,15,0.247,0.435,0.364,ヤクルト,2017
山中 浩史,13,24,18,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0.0,0.0,0.0,ヤクルト,2017
山本 哲哉,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,ヤクルト,2017
雄平,71,300,281,29,86,21,0,2,113,32,2,3,0,2,12,0,5,42,5,0.306,0.402,0.343,ヤクルト,2017
由規,10,16,15,1,1,0,0,0,1,0,0,0,1,0,0,0,0,8,0,0.067,0.067,0.067,ヤクルト,2017
リベロ,54,208,200,12,43,10,0,6,71,21,0,0,0,1,7,0,0,52,5,0.215,0.355,0.24,ヤクルト,2017
渡邉 大樹,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,ヤクルト,2017
青柳 晃洋,12,22,21,0,2,1,0,0,3,2,0,0,1,0,0,0,0,7,0,0.095,0.143,0.095,阪神,2017
秋山 拓巳,25,56,48,3,8,1,0,1,12,3,0,0,6,0,2,0,0,20,0,0.167,0.25,0.2,阪神,2017
新井 良太,17,17,16,1,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0.063,0.063,0.118,阪神,2017
荒木 郁也,49,22,17,5,2,0,0,0,2,0,4,0,3,0,2,0,0,7,0,0.118,0.118,0.211,阪神,2017
板山 祐太郎,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,阪神,2017
糸井 嘉男,114,493,427,60,124,16,0,17,191,62,21,6,0,2,59,0,5,62,12,0.29,0.447,0.381,阪神,2017
伊藤 隼太,73,73,69,9,18,2,0,2,26,9,0,1,0,0,4,0,0,16,1,0.261,0.377,0.301,阪神,2017
糸原 健斗,66,193,162,18,42,13,0,1,58,24,1,0,5,0,23,0,3,26,1,0.259,0.358,0.362,阪神,2017
岩貞 祐太,18,27,22,2,2,0,0,0,2,0,0,0,5,0,0,0,0,11,0,0.091,0.091,0.091,阪神,2017
岩田 稔,10,21,19,2,1,0,0,0,1,0,0,0,0,0,2,0,0,9,0,0.053,0.053,0.143,阪神,2017
植田 海,13,22,18,5,5,0,0,0,5,0,1,1,3,0,1,0,0,6,0,0.278,0.278,0.316,阪神,2017
上本 博紀,125,488,409,57,116,20,1,9,165,38,16,1,23,2,50,0,4,71,7,0.284,0.403,0.366,阪神,2017
梅野 隆太郎,112,340,282,22,58,9,2,2,77,33,1,0,27,3,24,2,4,63,3,0.206,0.273,0.275,阪神,2017
江越 大賀,28,18,13,3,1,0,0,0,1,0,1,0,0,0,3,0,2,5,0,0.077,0.077,0.333,阪神,2017
榎田 大樹,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,阪神,2017
大山 悠輔,75,221,198,25,47,10,2,7,82,38,2,2,1,1,18,0,3,41,4,0.237,0.414,0.309,阪神,2017
岡﨑 太一,34,54,41,4,8,0,0,2,14,5,0,0,7,0,5,1,1,12,0,0.195,0.341,0.298,阪神,2017
小野 泰己,15,24,19,0,1,0,0,0,1,0,0,0,4,0,1,0,0,7,0,0.053,0.053,0.1,阪神,2017
狩野 恵輔,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,阪神,2017
キャンベル,21,54,47,5,9,2,0,1,14,5,0,0,0,0,7,0,0,17,2,0.191,0.298,0.296,阪神,2017
坂本 誠志郎,42,132,113,13,28,5,0,2,39,17,0,0,3,0,15,1,1,32,1,0.248,0.345,0.341,阪神,2017
俊介,74,202,191,26,59,15,1,4,88,23,1,0,2,0,9,0,0,33,1,0.309,0.461,0.34,阪神,2017
髙山 俊,103,353,328,40,82,15,3,6,121,24,6,3,0,1,21,0,3,77,3,0.25,0.369,0.3,阪神,2017
鳥谷 敬,143,570,488,57,143,23,3,4,184,41,8,7,1,2,77,3,2,62,13,0.293,0.377,0.39,阪神,2017
中谷 将大,133,455,411,64,99,21,1,20,182,61,2,1,0,3,36,2,5,96,5,0.241,0.443,0.308,阪神,2017
西岡 剛,32,100,92,6,21,4,0,0,25,5,3,2,0,0,7,0,1,17,0,0.228,0.272,0.29,阪神,2017
能見 篤史,23,39,33,4,4,1,0,0,5,0,0,0,2,0,4,0,0,15,0,0.121,0.152,0.216,阪神,2017
原口 文仁,73,216,186,16,42,12,0,6,72,25,0,0,1,2,22,0,5,36,10,0.226,0.387,0.321,阪神,2017
福留 孝介,127,526,441,68,116,20,3,18,196,79,1,2,1,4,77,1,3,92,17,0.263,0.444,0.373,阪神,2017
福永 春吾,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,阪神,2017
藤川 球児,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,阪神,2017
藤浪 晋太郎,11,21,17,1,1,0,0,0,1,1,0,0,2,0,2,0,0,13,0,0.059,0.059,0.158,阪神,2017
北條 史也,83,252,219,26,46,7,2,3,66,20,0,0,7,2,23,0,1,42,4,0.21,0.301,0.286,阪神,2017
松田 遼馬,26,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,阪神,2017
メッセンジャー,22,50,44,3,6,1,0,1,10,2,0,0,6,0,0,0,0,17,0,0.136,0.227,0.136,阪神,2017
メンドーサ,4,6,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0.0,0.0,0.0,阪神,2017
森越 祐人,29,27,23,3,3,2,0,0,5,1,0,0,2,0,2,0,0,10,1,0.13,0.217,0.2,阪神,2017
大和,100,252,232,25,65,6,0,1,74,16,2,3,1,1,18,0,0,37,5,0.28,0.319,0.331,阪神,2017
陽川 尚将,12,19,18,1,3,0,0,1,6,1,0,0,0,0,1,0,0,8,0,0.167,0.333,0.211,阪神,2017
横山 雄哉,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,阪神,2017
ロジャース,40,140,123,15,31,7,0,5,53,23,0,0,0,2,15,0,0,26,6,0.252,0.431,0.329,阪神,2017
赤間 謙,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,オリックス,2017
安達 了一,109,380,316,40,64,9,3,3,88,26,4,3,17,0,37,0,10,61,5,0.203,0.278,0.306,オリックス,2017
飯田 大祐,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,オリックス,2017
伊藤 光,103,239,196,21,37,9,2,5,65,23,0,0,22,1,18,1,2,47,2,0.189,0.332,0.263,オリックス,2017
岩﨑 恭平,7,11,11,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0.091,0.091,0.091,オリックス,2017
大城 滉二,122,400,345,28,85,10,1,2,103,21,7,4,35,1,16,0,3,59,6,0.246,0.299,0.285,オリックス,2017
岡﨑 大輔,5,14,14,1,2,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0.143,0.143,0.143,オリックス,2017
小田 裕也,43,20,17,4,1,0,0,0,1,0,0,0,2,0,1,0,0,7,0,0.059,0.059,0.111,オリックス,2017
金子 千尋,27,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,オリックス,2017
川端 崇義,18,28,28,4,6,2,0,0,8,2,0,0,0,0,0,0,0,2,0,0.214,0.286,0.214,オリックス,2017
小島 脩平,61,182,164,17,35,5,2,2,50,19,3,0,9,2,7,0,0,21,4,0.213,0.305,0.243,オリックス,2017
小谷野 栄一,130,506,470,41,130,14,1,6,164,47,0,0,3,2,28,0,3,60,13,0.277,0.349,0.32,オリックス,2017
縞田 拓弥,5,9,7,0,1,0,0,0,1,1,0,0,0,0,2,0,0,1,1,0.143,0.143,0.333,オリックス,2017
駿太,129,329,296,29,71,16,7,2,107,27,4,3,13,4,15,1,1,76,3,0.24,0.361,0.275,オリックス,2017
杉本 裕太郎,9,17,17,2,2,1,0,1,6,2,0,0,0,0,0,0,0,6,1,0.118,0.353,0.118,オリックス,2017
鈴木 昂平,72,39,37,10,3,2,0,0,5,0,0,0,2,0,0,0,0,8,2,0.081,0.135,0.081,オリックス,2017
武田 健吾,97,219,207,19,61,8,0,2,75,14,0,0,4,0,5,0,3,47,3,0.295,0.362,0.321,オリックス,2017
Ｔ－岡田,143,593,504,77,134,19,0,31,246,68,2,1,0,1,83,1,5,141,10,0.266,0.488,0.374,オリックス,2017
ディクソン,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,オリックス,2017
東明 大貴,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,オリックス,2017
中島 宏之,124,489,431,36,123,19,0,9,169,49,0,0,0,5,46,0,7,93,11,0.285,0.392,0.36,オリックス,2017
西 勇輝,17,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.2,0.2,0.2,オリックス,2017
西野 真弘,100,331,282,33,66,11,2,2,87,21,8,4,16,3,24,0,6,46,4,0.234,0.309,0.305,オリックス,2017
平野 佳寿,58,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,オリックス,2017
伏見 寅威,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,オリックス,2017
マレーロ,82,319,283,39,82,15,1,20,159,50,1,0,0,2,29,1,5,84,6,0.29,0.562,0.364,オリックス,2017
松葉 貴大,23,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,オリックス,2017
宮﨑 祐樹,52,146,137,9,37,7,2,2,54,13,0,1,1,1,6,0,1,32,0,0.27,0.394,0.303,オリックス,2017
宗 佑磨,10,26,22,2,4,1,0,0,5,0,0,3,0,0,3,0,1,6,1,0.182,0.227,0.308,オリックス,2017
モレル,38,110,98,9,27,8,0,1,38,11,0,2,0,0,12,0,0,28,3,0.276,0.388,0.355,オリックス,2017
山岡 泰輔,24,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,オリックス,2017
山崎 勝己,17,22,18,1,2,2,0,0,4,2,0,0,2,0,2,0,0,4,0,0.111,0.222,0.2,オリックス,2017
吉田 正尚,64,268,228,42,71,11,0,12,118,38,1,1,0,1,38,2,1,32,9,0.311,0.518,0.41,オリックス,2017
吉田 雄人,11,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,オリックス,2017
ロメロ,103,424,390,55,107,13,0,26,198,66,2,1,0,1,27,0,6,98,12,0.274,0.508,0.33,オリックス,2017
若月 健矢,100,256,218,16,44,8,2,1,59,18,0,0,23,2,10,0,3,50,9,0.202,0.271,0.245,オリックス,2017
アマダー,121,460,417,35,99,9,0,23,177,65,0,1,0,2,39,0,2,102,18,0.237,0.424,0.304,楽天,2017
足立 祐一,49,87,76,5,16,1,1,1,22,7,0,1,5,0,5,0,1,18,1,0.211,0.289,0.268,楽天,2017
阿部 俊人,44,23,20,3,4,0,0,0,4,1,1,0,1,0,2,0,0,6,0,0.2,0.2,0.273,楽天,2017
安樂 智大,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,楽天,2017
伊志嶺 忠,14,14,14,0,1,1,0,0,2,0,0,0,0,0,0,0,0,7,0,0.071,0.143,0.071,楽天,2017
今江 年晶,51,135,128,11,32,7,1,1,44,10,0,0,1,0,6,0,0,26,3,0.25,0.344,0.284,楽天,2017
ウィーラー,142,605,542,75,147,27,0,31,267,82,7,3,0,3,50,4,10,98,14,0.271,0.493,0.342,楽天,2017
内田 靖人,7,21,21,0,1,0,0,0,1,1,0,0,0,0,0,0,0,9,1,0.048,0.048,0.048,楽天,2017
オコエ 瑠偉,41,141,130,21,39,17,0,3,65,11,5,2,5,0,3,0,3,38,3,0.3,0.5,0.331,楽天,2017
岡島 豪郎,111,400,342,51,89,13,5,3,121,32,3,2,10,5,41,0,2,65,6,0.26,0.354,0.338,楽天,2017
釜田 佳直,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,楽天,2017
岸 孝之,26,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0.0,0.0,0.0,楽天,2017
銀次,143,590,529,55,155,30,0,3,194,60,2,1,1,2,56,1,2,74,11,0.293,0.367,0.362,楽天,2017
クルーズ,13,37,37,2,6,2,0,0,8,2,0,0,0,0,0,0,0,4,1,0.162,0.216,0.162,楽天,2017
嶋 基宏,112,369,281,34,56,9,0,3,74,28,2,1,27,1,57,0,3,62,8,0.199,0.263,0.339,楽天,2017
島内 宏明,143,577,494,62,131,14,3,14,193,47,3,6,12,3,64,0,4,67,8,0.265,0.391,0.352,楽天,2017
下妻 貴寛,8,11,10,0,1,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0.1,0.1,0.1,楽天,2017
田中 和基,51,59,54,9,6,2,0,1,11,2,7,2,2,0,3,0,0,25,0,0.111,0.204,0.158,楽天,2017
中川 大志,23,36,34,3,4,2,0,0,6,4,0,0,0,0,1,0,1,11,0,0.118,0.176,0.167,楽天,2017
西田 哲朗,22,24,22,2,3,0,0,0,3,0,0,0,0,0,2,0,0,10,0,0.136,0.136,0.208,楽天,2017
則本 昂大,25,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,楽天,2017
聖澤 諒,111,252,232,29,58,14,2,1,79,21,2,1,2,1,13,0,4,50,2,0.25,0.341,0.3,楽天,2017
福田 将儀,9,7,7,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0.143,0.143,0.143,楽天,2017
藤田 一也,102,315,270,28,68,9,2,3,90,33,2,1,25,3,16,1,1,21,8,0.252,0.333,0.293,楽天,2017
藤平 尚真,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,楽天,2017
古川 侑利,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,楽天,2017
ペゲーロ,120,517,463,67,130,17,1,26,227,75,3,2,0,0,50,3,4,139,16,0.281,0.49,0.356,楽天,2017
細川 亨,20,23,20,1,2,0,0,1,5,1,0,0,3,0,0,0,0,9,0,0.1,0.25,0.1,楽天,2017
枡田 慎太郎,32,77,71,7,12,4,0,1,19,4,1,0,0,0,6,0,0,23,1,0.169,0.268,0.234,楽天,2017
松井 稼頭央,44,83,76,6,16,2,1,2,26,10,0,1,0,0,6,0,1,23,1,0.211,0.342,0.277,楽天,2017
美馬 学,26,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,楽天,2017
三好 匠,56,115,103,12,25,9,0,1,37,9,0,1,4,1,7,0,0,27,1,0.243,0.359,0.288,楽天,2017
村林 一輝,1,3,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.5,0.5,0.667,楽天,2017
茂木 栄五郎,103,450,398,64,118,25,2,17,198,47,3,2,4,1,45,1,2,84,4,0.296,0.497,0.37,楽天,2017
淺間 大基,19,44,42,2,7,3,0,0,10,3,1,0,0,0,2,0,0,17,1,0.167,0.238,0.205,日本ハム,2017
有原 航平,25,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.25,0.25,0.25,日本ハム,2017
飯山 裕志,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,日本ハム,2017
石井 一成,114,361,317,33,65,8,2,3,86,24,3,5,14,1,28,0,1,113,6,0.205,0.271,0.271,日本ハム,2017
市川 友也,57,154,135,12,23,7,0,1,33,8,0,0,8,1,6,0,4,32,3,0.17,0.244,0.226,日本ハム,2017
今井 順之助,1,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.25,0.25,0.25,日本ハム,2017
上沢 直之,15,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,日本ハム,2017
太田 賢吾,40,88,82,9,14,2,1,1,21,6,0,0,4,0,2,0,0,21,1,0.171,0.256,0.19,日本ハム,2017
大田 泰示,118,457,427,41,110,21,1,15,178,46,5,2,0,2,28,0,0,88,14,0.258,0.417,0.302,日本ハム,2017
大谷 翔平,65,231,202,24,67,16,1,8,109,31,0,1,0,3,24,0,2,63,0,0.332,0.54,0.403,日本ハム,2017
大野 奨太,83,183,154,13,34,5,0,3,48,13,0,1,8,1,16,0,4,30,1,0.221,0.312,0.309,日本ハム,2017
大累 進,13,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,日本ハム,2017
岡 大海,60,132,124,15,21,4,1,0,27,7,6,2,3,1,4,0,0,34,4,0.169,0.218,0.194,日本ハム,2017
加藤 貴之,21,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,日本ハム,2017
岸里 亮佑,7,14,14,1,2,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0.143,0.214,0.143,日本ハム,2017
黒羽根 利規,19,30,29,1,8,2,0,0,10,1,0,0,1,0,0,0,0,6,0,0.276,0.345,0.276,日本ハム,2017
郡 拓也,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,日本ハム,2017
近藤 健介,57,231,167,32,69,15,0,3,93,29,3,0,0,2,60,0,2,27,3,0.413,0.557,0.567,日本ハム,2017
斎藤 佑樹,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,日本ハム,2017
清水 優心,61,120,111,7,22,4,0,1,29,10,0,0,3,1,5,0,0,35,4,0.198,0.261,0.231,日本ハム,2017
杉谷 拳士,35,85,75,5,11,2,1,0,15,3,1,0,5,0,5,0,0,20,1,0.147,0.2,0.2,日本ハム,2017
高梨 裕稔,22,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.0,0.0,0.0,日本ハム,2017
髙濱 祐仁,3,12,11,0,2,0,0,0,2,0,0,0,0,0,1,0,0,5,0,0.182,0.182,0.25,日本ハム,2017
田中 賢介,107,349,314,22,79,6,1,2,93,18,11,4,0,0,35,1,0,36,4,0.252,0.296,0.327,日本ハム,2017
ドレイク,35,86,82,4,19,2,0,1,24,3,0,0,0,0,3,0,1,22,2,0.232,0.293,0.267,日本ハム,2017
中島 卓也,91,331,283,26,59,1,2,1,67,13,11,3,25,0,23,0,0,80,2,0.208,0.237,0.268,日本ハム,2017
中田 翔,129,542,472,56,102,23,0,16,173,67,0,1,0,4,61,0,5,103,14,0.216,0.367,0.31,日本ハム,2017
西川 遥輝,138,623,541,82,160,26,6,9,225,44,39,5,6,3,69,0,4,103,6,0.296,0.416,0.378,日本ハム,2017
平沼 翔太,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,日本ハム,2017
松本 剛,115,448,402,46,110,17,0,5,142,33,6,3,21,1,21,1,3,61,7,0.274,0.353,0.314,日本ハム,2017
村田 透,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,日本ハム,2017
メンドーサ,20,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,日本ハム,2017
森本 龍弥,5,10,9,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0.111,0.111,0.2,日本ハム,2017
森山 恵佑,5,12,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0.0,0.0,0.083,日本ハム,2017
矢野 謙次,44,49,44,0,9,2,0,0,11,10,0,0,0,0,5,0,0,13,1,0.205,0.25,0.286,日本ハム,2017
横尾 俊建,50,149,134,14,32,3,0,7,56,20,0,0,0,1,11,0,3,45,2,0.239,0.418,0.309,日本ハム,2017
レアード,137,571,503,56,115,18,1,32,231,90,0,0,0,7,54,0,7,125,18,0.229,0.459,0.308,日本ハム,2017
渡邉 諒,22,35,30,4,4,1,1,0,7,2,0,0,2,0,3,0,0,13,0,0.133,0.233,0.212,日本ハム,2017
明石 健志,103,339,290,37,81,10,3,1,100,23,5,6,15,3,30,1,1,57,3,0.279,0.345,0.346,ソフトバンク,2017
斐紹,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,ソフトバンク,2017
五十嵐 亮太,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ソフトバンク,2017
石川 柊太,34,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,ソフトバンク,2017
今宮 健太,141,623,526,78,139,27,7,14,222,64,15,4,52,3,38,0,4,93,12,0.264,0.422,0.317,ソフトバンク,2017
岩嵜 翔,72,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,ソフトバンク,2017
上林 誠知,134,453,415,54,108,23,5,13,180,51,12,12,10,2,24,2,2,96,3,0.26,0.434,0.302,ソフトバンク,2017
内川 聖一,73,300,266,31,79,13,0,12,128,50,0,1,0,2,32,0,0,26,9,0.297,0.481,0.37,ソフトバンク,2017
江川 智晃,32,71,67,6,12,3,0,1,18,5,0,0,1,0,2,0,1,20,0,0.179,0.269,0.214,ソフトバンク,2017
岡本 健,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,ソフトバンク,2017
甲斐 拓也,103,257,207,30,48,8,3,5,77,18,4,0,22,0,26,1,2,68,2,0.232,0.372,0.323,ソフトバンク,2017
釜元 豪,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,ソフトバンク,2017
嘉弥真 新也,58,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,ソフトバンク,2017
川﨑 宗則,42,156,137,22,33,10,0,0,43,4,0,2,4,1,11,0,3,37,0,0.241,0.314,0.309,ソフトバンク,2017
川島 慶三,81,137,110,23,29,7,0,5,51,13,2,2,6,1,18,0,2,24,1,0.264,0.464,0.374,ソフトバンク,2017
城所 龍磨,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,ソフトバンク,2017
栗原 陵矢,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,ソフトバンク,2017
ジェンセン,6,14,12,2,1,0,0,1,4,1,0,0,0,0,2,0,0,9,0,0.083,0.333,0.214,ソフトバンク,2017
千賀 滉大,22,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,ソフトバンク,2017
曽根 海成,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,ソフトバンク,2017
髙田 知季,58,130,114,10,26,4,2,2,40,8,2,0,9,0,5,0,2,28,0,0.228,0.351,0.273,ソフトバンク,2017
髙谷 裕亮,92,195,175,9,36,4,0,1,43,20,0,1,5,2,12,0,1,30,1,0.206,0.246,0.258,ソフトバンク,2017
茶谷 健太,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,ソフトバンク,2017
塚田 正義,14,27,26,3,4,1,0,2,11,2,0,0,0,0,0,0,1,8,1,0.154,0.423,0.185,ソフトバンク,2017
鶴岡 慎也,29,32,28,6,9,0,0,3,18,5,0,0,1,0,3,0,0,3,1,0.321,0.643,0.387,ソフトバンク,2017
デスパイネ,136,545,478,66,125,15,0,35,245,103,3,1,0,3,59,2,5,119,14,0.262,0.513,0.347,ソフトバンク,2017
中田 賢一,18,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ソフトバンク,2017
中村 晃,143,600,511,66,138,19,2,6,179,42,3,5,14,5,67,0,3,57,5,0.27,0.35,0.355,ソフトバンク,2017
バンデンハーク,25,6,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0.0,0.0,0.0,ソフトバンク,2017
長谷川 勇也,23,44,37,5,8,1,2,2,19,7,1,0,0,0,7,0,0,15,0,0.216,0.514,0.341,ソフトバンク,2017
東浜 巨,24,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,ソフトバンク,2017
福田 秀平,104,113,104,15,19,2,1,3,32,16,4,2,3,0,6,0,0,34,1,0.183,0.308,0.227,ソフトバンク,2017
本多 雄一,62,143,122,12,26,6,0,0,32,8,3,2,9,0,12,0,0,20,2,0.213,0.262,0.284,ソフトバンク,2017
牧原 大成,10,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,ソフトバンク,2017
真砂 勇介,9,13,12,2,1,0,0,1,4,1,0,0,0,0,1,0,0,2,0,0.083,0.333,0.154,ソフトバンク,2017
松田 宣浩,143,577,531,64,140,19,6,24,243,71,5,2,0,2,43,2,1,128,16,0.264,0.458,0.319,ソフトバンク,2017
松本 裕樹,15,6,4,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,ソフトバンク,2017
柳田 悠岐,130,551,448,95,139,30,1,31,264,99,14,7,0,7,89,8,7,123,6,0.31,0.589,0.426,ソフトバンク,2017
山田 大樹,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,ソフトバンク,2017
吉村 裕基,8,19,17,2,3,0,0,2,9,2,0,0,0,0,1,0,1,7,1,0.176,0.529,0.263,ソフトバンク,2017
愛斗,9,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0.0,0.0,0.167,西武,2017
秋山 翔吾,143,659,575,106,185,38,5,25,308,89,16,5,0,7,72,1,5,97,4,0.322,0.536,0.398,西武,2017
浅村 栄斗,143,633,574,78,167,34,1,19,260,99,5,1,1,6,44,0,8,96,17,0.291,0.453,0.347,西武,2017
ウルフ,23,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.0,0.0,0.0,西武,2017
呉 念庭,15,44,39,5,9,2,1,0,13,4,1,0,0,1,4,0,0,8,2,0.231,0.333,0.295,西武,2017
上本 達之,11,11,10,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0.1,0.1,0.182,西武,2017
岡田 雅利,68,172,144,19,33,6,1,0,41,9,0,0,12,0,10,1,6,28,1,0.229,0.285,0.306,西武,2017
岡本 洋介,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,西武,2017
ガルセス,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,西武,2017
金子 侑司,90,320,283,43,77,17,2,5,113,34,25,8,5,4,27,0,1,49,5,0.272,0.399,0.333,西武,2017
菊池 雄星,26,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.2,0.2,0.2,西武,2017
