player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,SLG,OBP,team,year
桂 依央利,47,113,105,8,24,1,1,2,33,7,1,0,5,0,3,0,0,33,2,0.229,0.314,0.25,中日,2015
亀澤 恭平,107,376,331,30,89,6,2,0,99,12,9,8,27,1,15,0,2,44,3,0.269,0.299,0.304,中日,2015
工藤 隆人,13,7,6,2,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0.167,0.167,0.286,中日,2015
杉山 翔大,64,161,153,8,28,3,0,3,40,17,1,1,3,0,3,1,2,33,3,0.183,0.261,0.209,中日,2015
鈴木 翔太,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,中日,2015
高橋 周平,51,172,154,10,32,6,1,4,52,18,2,1,1,0,16,0,1,42,5,0.208,0.338,0.287,中日,2015
武山 真吾,11,27,22,1,2,0,0,0,2,0,0,0,1,0,4,0,0,8,1,0.091,0.091,0.231,中日,2015
谷 哲也,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,中日,2015
谷繁 元信,30,52,47,4,13,2,0,1,18,4,0,0,2,0,3,0,0,9,0,0.277,0.383,0.32,中日,2015
堂上 直倫,43,43,38,3,6,0,0,1,9,1,0,0,1,0,4,0,0,8,0,0.158,0.237,0.238,中日,2015
友永 翔太,7,20,18,0,1,0,0,0,1,0,2,0,1,0,1,0,0,7,1,0.056,0.056,0.105,中日,2015
ナニータ,52,169,156,9,48,12,0,0,60,15,1,0,1,1,9,0,2,24,4,0.308,0.385,0.351,中日,2015
ネイラー,10,17,14,2,1,0,0,1,4,1,0,0,2,0,1,0,0,9,0,0.071,0.286,0.133,中日,2015
野本 圭,10,16,14,1,2,1,0,0,3,0,0,0,0,0,2,1,0,6,0,0.143,0.214,0.25,中日,2015
