player,team,AVG,G,PA,AB,H,HR,RBI,SB,BB,HBP,SO,SH,GDP,OBP,SLG,OPS,RC27,XR27,year
白崎　浩之,DeNA,0.207,92,214,203,42,6,12,0,6,3,32,2,8,0.241,0.35,0.59,2.16,2.22,2016
谷口　雄也,日本ハム,0.254,83,211,193,49,1,9,7,8,1,48,9,2,0.287,0.306,0.593,3.14,3.10,2016
立岡　宗一郎,巨人,0.229,51,209,188,43,2,9,9,10,5,31,6,1,0.286,0.303,0.589,3.04,3.06,2016
足立　祐一,楽天,0.227,73,208,185,42,1,14,0,10,0,36,11,2,0.264,0.27,0.534,2.07,2.21,2016
渡辺　直人,西武,0.309,70,207,181,56,0,16,1,10,3,20,11,5,0.352,0.348,0.7,4.29,4.20,2016
吉村　裕基,ソフトバンク,0.209,78,206,177,37,5,28,1,14,7,46,4,5,0.287,0.328,0.615,2.89,3.22,2016
西岡　剛,阪神,0.295,55,205,190,56,0,15,6,13,2,25,0,5,0.346,0.342,0.688,4.42,4.19,2016
伊藤　光,オリックス,0.241,80,203,187,45,3,15,1,3,1,36,12,6,0.257,0.326,0.583,2.32,2.29,2016
ペゲーロ,楽天,0.279,51,200,183,51,10,26,0,17,0,67,0,2,0.34,0.492,0.832,6.05,5.96,2016
ボグセビック,オリックス,0.187,60,193,171,32,3,18,3,15,7,48,0,3,0.28,0.322,0.601,2.83,2.87,2016
畠山　和洋,ヤクルト,0.245,45,190,163,40,1,18,0,26,1,24,0,6,0.353,0.325,0.678,3.92,3.85,2016
小谷野　栄一,オリックス,0.249,50,189,177,44,4,13,1,3,1,30,8,3,0.265,0.35,0.615,2.95,2.93,2016
藤井　淳志,中日,0.216,87,187,167,36,3,19,0,12,0,45,6,3,0.265,0.311,0.577,2.53,2.69,2016
松井　稼頭央,楽天,0.213,56,179,160,34,2,13,3,17,1,42,0,5,0.291,0.3,0.591,2.80,2.89,2016
大城　滉二,オリックス,0.224,64,177,161,36,0,7,1,5,0,38,10,4,0.246,0.261,0.506,1.36,1.46,2016
井口　資仁,ロッテ,0.257,79,176,152,39,5,34,1,19,2,50,0,1,0.341,0.408,0.749,5.26,5.41,2016
森野　将彦,中日,0.268,68,170,142,38,1,15,0,26,2,24,0,1,0.388,0.331,0.719,5.46,5.36,2016
桂　依央利,中日,0.182,59,164,143,26,3,11,0,11,2,38,7,3,0.248,0.28,0.528,1.93,2.08,2016
中谷　将大,阪神,0.266,64,163,154,41,4,14,1,8,1,49,0,2,0.307,0.39,0.696,4.13,4.05,2016
城所　龍磨,ソフトバンク,0.264,84,162,148,39,6,19,11,11,0,45,3,0,0.314,0.439,0.754,5.42,5.34,2016
坂田　遼,西武,0.245,45,161,151,37,3,26,0,8,0,22,0,5,0.28,0.371,0.65,3.22,3.30,2016
