player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,SLG,OBP,team,year,wOBA,wRC+,wRAA
ロサリオ,42,136,124,9,32,5,0,2,43,12,1,1,0,0,11,0,1,23,1,0.258,0.347,0.324,広島,2015,0.3145847302541806,95.65439415936936,-0.5876521851216646
赤坂 和幸,35,49,43,2,14,2,0,0,16,8,2,0,0,0,6,0,0,8,0,0.326,0.372,0.408,中日,2015,0.36839978320355327,147.34295881838563,2.306654727419403
赤田 龍一郎,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,中日,2015,0.0,-206.49959955275526,-0.3047621484200122
荒木 雅博,97,238,211,23,53,10,0,0,63,13,9,1,6,1,20,0,0,31,1,0.251,0.299,0.315,中日,2015,0.29038304577229035,72.40903315645173,-6.52942580672152
伊藤 準規,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,中日,2015,0.0,-206.49959955275526,-0.6095242968400244
井領 雅貴,9,7,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0.0,0.0,0.0,中日,2015,0.0,-206.49959955275526,-2.1333350389400856
岩田 慎司,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,中日,2015,0.0,-206.49959955275526,-0.6095242968400244
エルナンデス,138,548,498,54,135,27,2,11,199,58,5,3,10,4,35,1,0,106,13,0.271,0.4,0.317,中日,2015,0.32831778110052195,108.84478695345372,4.819467433058623
遠藤 一星,41,165,140,16,38,4,0,4,54,14,3,3,4,3,11,0,7,25,1,0.271,0.386,0.348,中日,2015,0.3415028455364927,121.50884688243151,3.528841783989917
大島 洋平,142,620,565,70,147,20,4,6,193,27,22,8,10,1,39,1,5,65,5,0.26,0.342,0.313,中日,2015,0.30545436933100134,86.88481715306433,-8.085318905653478
大野 雄大,28,69,62,0,7,1,0,0,8,2,0,0,6,0,1,0,0,30,0,0.113,0.129,0.127,中日,2015,0.12033063297728847,-90.92380129128698,-13.099064431457032
小笠原 道大,53,59,51,2,15,3,0,0,18,8,0,0,0,1,7,1,0,10,1,0.294,0.353,0.373,中日,2015,0.3407433599806352,120.77937220740966,1.219033243219281
岡田 俊哉,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,中日,2015,0.0,-206.49959955275526,-0.3047621484200122
小熊 凌祐,13,10,8,1,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0.0,0.0,0.111,中日,2015,0.08027582282877116,-129.39585568495252,-2.2809548175334555
桂 依央利,47,113,105,8,24,1,1,2,33,7,1,0,5,0,3,0,0,33,2,0.229,0.314,0.25,中日,2015,0.25944215204081117,42.69076106347676,-6.439233882572491
亀沢 恭平,107,376,331,30,89,6,2,0,99,12,9,8,27,1,15,0,2,44,3,0.269,0.299,0.304,中日,2015,0.28181044119745147,64.1751728965799,-13.393776974979028
工藤 隆人,13,7,6,2,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0.167,0.167,0.286,中日,2015,0.2348441773437964,19.064769153673844,-0.5633350389400855
杉山 翔大,64,161,153,8,28,3,0,3,40,17,1,1,3,0,3,1,2,33,3,0.183,0.261,0.209,中日,2015,0.21856053689264227,3.4245726618953336,-15.460503363976395
鈴木 翔太,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,中日,2015,0.0,-206.49959955275526,-0.3047621484200122
高橋 周平,51,172,154,10,32,6,1,4,52,18,2,1,1,0,16,0,1,42,5,0.208,0.338,0.287,中日,2015,0.2931812659833382,75.09668239921996,-4.259089528242096
武山 真吾,11,27,22,1,2,0,0,0,2,0,0,0,1,0,4,0,0,8,1,0.091,0.091,0.231,中日,2015,0.1820301266819627,-31.662347571583872,-3.5347318534941765
谷 哲也,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,中日,2015,0.0,-206.49959955275526,-0.3047621484200122
谷繁 元信,30,52,47,4,13,2,0,1,18,4,0,0,2,0,3,0,0,9,0,0.277,0.383,0.32,中日,2015,0.32480295967154105,105.46885280975438,0.28276828215936267
堂上 直倫,43,43,38,3,6,0,0,1,9,1,0,0,1,0,4,0,0,8,0,0.158,0.237,0.238,中日,2015,0.23085531658211836,15.233527222354487,-3.6242961915843335
友永 翔太,7,20,18,0,1,0,0,0,1,0,2,0,1,0,1,0,0,7,1,0.056,0.056,0.105,中日,2015,0.08652153902139867,-123.39693739775508,-4.442611389452876
ナニータ,52,169,156,9,48,12,0,0,60,15,1,0,1,1,9,0,2,24,4,0.308,0.385,0.351,中日,2015,0.3401127058824568,120.17363824739971,3.390018345589373
ネイラー,10,17,14,2,1,0,0,1,4,1,0,0,2,0,1,0,0,9,0,0.071,0.286,0.133,中日,2015,0.1947561266889318,-19.43921225608602,-2.0189565231402073
野本 圭,10,16,14,1,2,1,0,0,3,0,0,0,0,0,2,1,0,6,0,0.143,0.214,0.25,中日,2015,0.23101113145562135,15.383185110296594,-1.3461943747201959
バルデス,22,45,45,2,6,2,0,0,8,2,0,0,0,0,0,0,0,13,1,0.133,0.178,0.133,中日,2015,0.1410062279253198,-71.06519728061478,-7.654296678900549
濱田 達郎,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,中日,2015,0.0,-206.49959955275526,-1.523810742100061
平田 良介,130,559,491,76,139,27,3,13,211,53,11,7,1,0,64,1,3,86,5,0.283,0.43,0.369,中日,2015,0.37013571886337343,149.01029941695236,27.241453656869112
福田 永将,79,185,169,12,41,6,2,6,69,23,0,0,0,2,14,0,0,62,7,0.243,0.408,0.297,中日,2015,0.32193340558170414,102.71268842848697,0.4990025422977341
福谷 浩司,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,中日,2015,0.0,-206.49959955275526,-0.3047621484200122
藤井 淳志,118,315,275,28,81,9,3,6,114,45,3,0,11,4,23,1,2,69,4,0.295,0.415,0.349,中日,2015,0.3500815774735256,129.74859238332047,9.317686405590905
