player,team,ERA,G,W,L,SV,HLD,WPCT,BF,IP,HA,HRA,BB,HBP,SO,R,ER,WHIP,DIPS,year
守屋　功輝,阪神,8.64,4,0,1,0,0,0.0,44,8.1,16,2,4,0,7,8,8,2.4,6.0,2016
小野　郁,楽天,8.78,11,0,0,0,0,0.0,69,13.1,20,1,9,0,7,14,13,2.18,5.07,2016
古谷　拓哉,ロッテ,8.84,5,0,4,0,0,0.0,92,18.1,25,1,11,0,6,19,18,1.96,4.97,2016
岩田　稔,阪神,8.85,6,0,3,0,0,0.0,107,20.1,36,4,10,2,14,23,20,2.26,5.92,2016
長田　秀一郎,DeNA,9.0,6,0,0,0,0,0.0,24,4.0,8,0,3,1,3,4,4,2.75,4.62,2016
齋藤　綱記,オリックス,9.0,1,0,0,0,0,0.0,20,4.0,6,2,2,0,2,4,4,2.0,10.12,2016
岩尾　利弘,西武,9.0,2,0,0,0,0,0.0,13,3.0,5,0,2,0,1,3,3,2.33,4.45,2016
大田　阿斗里,オリックス,9.0,1,0,0,0,0,0.0,15,3.0,5,2,1,0,2,3,3,2.0,11.45,2016
筒井　和也,阪神,9.0,1,0,0,0,0,0.0,5,1.0,1,0,2,0,0,1,1,3.0,9.12,2016
松本　裕樹,ソフトバンク,9.0,1,0,0,0,0,0.0,4,1.0,1,1,0,0,1,1,1,1.0,14.12,2016
古野　正人,ヤクルト,9.45,6,0,2,0,0,0.0,64,13.1,20,3,6,0,8,14,14,1.95,6.2,2016
平良　拳太郎,巨人,9.82,1,0,1,0,0,0.0,18,3.2,4,1,3,0,4,4,4,1.91,6.94,2016
東條　大樹,ロッテ,10.03,11,0,0,0,1,0.0,62,11.2,14,1,14,2,6,13,13,2.4,7.32,2016
濱矢　廣大,楽天,10.24,13,2,0,0,1,1.0,52,9.2,12,1,10,0,15,13,11,2.28,4.15,2016
白仁田　寛和,オリックス,10.5,7,0,0,0,0,0.0,34,6.0,9,1,6,0,2,8,7,2.5,7.62,2016
小松　聖,オリックス,10.8,4,0,1,0,0,0.0,20,3.1,6,1,3,0,1,4,4,2.7,9.12,2016
大塚　尚仁,楽天,10.8,4,0,0,0,0,0.0,16,3.1,4,1,2,0,3,4,4,1.8,7.02,2016
三浦　大輔,DeNA,11.05,3,0,3,0,0,0.0,75,14.2,29,3,4,0,14,18,18,2.25,4.69,2016
メンドーサ,巨人,11.25,3,0,0,0,0,0.0,20,4.0,6,1,2,0,4,5,5,2.0,5.87,2016
塹江　敦哉,広島,11.37,3,0,1,0,0,0.0,28,6.1,6,2,4,1,6,8,8,1.58,7.7,2016
長谷部　康平,楽天,11.57,2,0,0,0,0,0.0,12,2.1,1,0,3,1,2,3,3,1.71,6.55,2016
角屋　龍太,オリックス,11.57,2,0,0,0,0,0.0,16,2.1,5,1,4,0,1,3,3,3.86,12.98,2016
誠,西武,11.74,2,0,2,0,0,0.0,37,7.2,11,0,7,0,4,10,10,2.35,4.82,2016
八木　亮祐,ヤクルト,12.0,1,0,1,0,0,0.0,19,3.0,6,0,3,0,6,4,4,3.0,2.12,2016
福地　元春,DeNA,12.15,6,0,1,0,0,0.0,36,6.2,11,2,6,0,5,9,9,2.55,7.32,2016
入野　貴大,楽天,12.27,4,0,0,0,0,0.0,19,3.2,6,2,2,0,4,5,5,2.18,9.67,2016
徳山　武陽,ヤクルト,12.46,3,0,0,0,0,0.0,21,4.1,6,1,3,0,3,6,6,2.08,6.81,2016
西原　圭大,広島,12.6,2,0,0,0,0,0.0,27,5.0,12,1,1,0,2,7,7,2.6,5.52,2016
佐藤　峻一,オリックス,13.5,5,0,0,0,0,0.0,46,7.1,18,1,6,1,6,13,11,3.27,6.12,2016
石橋　良太,楽天,13.5,6,0,0,0,0,0.0,30,5.1,10,2,4,0,4,8,8,2.63,8.75,2016
竹下　真吾,ヤクルト,13.5,1,0,0,0,0,0.0,15,2.2,2,2,6,0,1,4,4,3.0,18.87,2016
中川　皓太,巨人,13.5,2,0,0,0,0,0.0,11,2.0,4,2,1,0,2,3,3,2.5,15.62,2016
武田　久,日本ハム,14.54,5,0,0,0,0,0.0,27,4.1,11,0,1,2,0,7,7,2.77,5.2,2016
濱田　達郎,中日,15.75,1,0,1,0,0,0.0,25,4.0,8,0,5,0,0,7,7,3.25,6.87,2016
中田　廉,広島,16.62,8,1,1,0,1,0.5,23,4.1,5,1,4,1,6,8,8,2.08,6.81,2016
松坂　大輔,ソフトバンク,18.0,1,0,0,0,0,0.0,10,1.0,3,0,2,2,2,5,2,5.0,11.12,2016
金子　丈,中日,18.0,1,0,0,0,0,0.0,6,1.0,2,1,1,0,0,2,2,3.0,19.12,2016
加藤　正志,楽天,18.0,1,0,0,0,0,0.0,5,1.0,2,1,0,0,0,2,2,2.0,16.12,2016
岡本　洋介,西武,19.29,4,0,0,0,0,0.0,27,4.2,10,0,4,0,1,10,10,3.0,5.26,2016
平田　真吾,DeNA,21.6,4,0,0,0,0,0.0,21,3.1,7,2,3,1,2,9,8,3.0,13.32,2016
国吉　佑樹,DeNA,21.6,1,0,0,0,0,0.0,12,1.2,4,0,3,0,2,4,4,4.2,6.12,2016
寺田　哲也,ヤクルト,27.0,2,0,1,0,1,0.0,15,2.0,4,0,5,1,0,6,6,4.5,12.12,2016
藤岡　好明,日本ハム,27.0,1,0,0,0,0,0.0,4,0.2,2,0,0,0,1,2,2,3.0,0.12,2016
木谷　良平,ヤクルト,27.0,1,0,0,0,0,0.0,5,0.2,2,0,1,0,1,2,2,4.5,4.62,2016
小林　寛,DeNA,27.0,1,0,0,0,0,0.0,2,0.1,1,1,0,0,0,1,1,3.0,42.12,2016
鈴木　優,オリックス,33.75,1,0,0,0,0,0.0,12,1.1,5,0,3,0,3,5,5,6.0,5.37,2016
金森　敬之,ロッテ,36.0,1,0,0,0,0,0.0,9,1.0,5,0,1,0,1,4,4,6.0,4.12,2016
相原　和友,楽天,45.0,2,0,0,0,0,0.0,12,1.0,5,0,4,0,1,5,5,9.0,13.12,2016
久本　祐一,広島,45.0,1,0,0,0,0,0.0,9,1.0,4,1,2,0,2,5,5,6.0,18.12,2016
綾部　翔,DeNA,0.00,1,1,0,0,0,1.0,21,5.0,4,0,2,0,5,0,0,1.20,2.32,2017
笠谷　俊介,ソフトバンク,0.00,3,0,0,0,1,0.0,12,3.1,1,0,1,0,5,0,0,0.60,1.02,2017
小林　寛,DeNA,0.00,3,0,0,0,0,0.0,16,3.0,5,0,2,0,3,0,0,2.33,3.12,2017
才木　浩人,阪神,0.00,2,0,0,0,1,0.0,13,2.2,2,0,3,0,3,0,0,1.88,4.25,2017
藤井　皓哉,広島,0.00,2,0,0,0,1,0.0,5,1.2,0,0,0,0,1,0,0,0.00,1.92,2017
新垣　勇人,日本ハム,0.00,1,0,0,0,0,0.0,4,1.0,1,0,0,0,0,0,0,1.00,3.12,2017
竹安　大知,阪神,0.00,1,1,0,0,0,1.0,3,1.0,0,0,0,0,1,0,0,0.00,1.12,2017
大石　達也,西武,0.93,20,2,0,0,4,1.0,77,19.1,10,0,11,1,17,2,2,1.09,3.07,2017
高梨　雄平,楽天,1.03,46,1,0,0,14,1.0,183,43.2,31,2,17,2,48,13,5,1.10,2.75,2017
福山　博之,楽天,1.06,65,6,0,7,23,1.0,237,59.2,49,2,14,3,31,8,7,1.06,3.32,2017
サファテ,ソフトバンク,1.09,66,2,2,54,3,0.5,238,66.0,34,3,10,1,102,9,8,0.67,1.12,2017
石崎　剛,阪神,1.17,26,1,1,0,4,0.5,123,30.2,16,1,15,2,32,4,4,1.01,3.12,2017
マーティン,日本ハム,1.19,40,0,2,1,29,0.0,137,37.2,21,2,6,1,34,5,5,0.72,2.56,2017
松井　裕樹,楽天,1.20,52,3,3,33,5,0.5,214,52.2,31,0,26,1,62,8,7,1.08,2.30,2017
中﨑　翔太,広島,1.40,59,4,1,10,25,0.8,218,57.2,33,2,20,0,36,9,9,0.92,3.36,2017
榎田　大樹,阪神,1.42,3,0,0,0,1,0.0,30,6.1,10,0,2,0,6,2,1,1.89,2.17,2017
山井　大介,中日,1.50,2,2,0,0,0,1.0,44,12.0,8,1,1,1,5,2,2,0.75,3.87,2017
桑原　謙太朗,阪神,1.51,67,4,2,0,39,0.667,261,65.2,52,2,10,3,63,11,11,0.94,2.19,2017
藤原　良平,西武,1.54,8,0,0,0,0,0.0,53,11.2,10,1,7,2,5,3,2,1.46,5.69,2017
菅野　智之,巨人,1.59,25,17,5,0,0,0.773,713,187.1,129,10,31,1,171,36,33,0.85,2.50,2017
山﨑　康晃,DeNA,1.64,68,4,2,26,15,0.667,260,65.2,52,3,13,1,84,16,12,0.99,1.80,2017
髙橋　聡文,阪神,1.70,61,6,0,1,20,1.0,184,47.2,29,1,14,1,51,9,9,0.90,2.20,2017
五十嵐　亮太,ソフトバンク,1.73,46,6,0,0,11,1.0,170,41.2,20,2,21,3,28,8,8,0.98,4.13,2017
岩橋　慶侍,ヤクルト,1.80,2,0,2,0,0,0.0,43,10.0,8,1,5,0,8,4,2,1.30,4.32,2017
横山　雄哉,阪神,1.80,1,1,0,0,0,1.0,22,5.0,6,0,2,0,5,1,1,1.60,2.32,2017
一岡　竜司,広島,1.85,59,6,2,1,19,0.75,234,58.1,42,1,20,0,58,14,12,1.06,2.38,2017
菊池　雄星,西武,1.97,26,16,6,0,0,0.727,735,187.2,122,16,49,6,217,49,41,0.91,2.79,2017
野田　昇吾,西武,1.98,38,1,0,0,1,1.0,143,36.1,21,1,15,1,26,8,8,0.99,3.37,2017
田中　靖洋,ロッテ,1.98,13,1,0,1,0,1.0,50,13.2,5,0,4,1,6,3,3,0.66,3.34,2017
岩嵜　翔,ソフトバンク,1.99,72,6,3,2,40,0.667,289,72.1,55,8,16,2,66,16,16,0.98,3.48,2017
ジャクソン,広島,2.03,60,2,2,1,30,0.5,243,62.0,43,5,19,1,55,16,14,1.00,3.36,2017
又吉　克樹,中日,2.13,50,8,3,0,21,0.727,434,110.0,84,7,36,5,78,27,26,1.09,3.65,2017
小川　龍也,中日,2.19,18,0,0,0,3,0.0,55,12.1,11,0,5,3,9,3,3,1.30,3.61,2017
藤川　球児,阪神,2.22,52,3,0,0,6,1.0,232,56.2,41,3,24,5,71,15,14,1.15,2.78,2017
マシソン,巨人,2.24,59,4,4,2,27,0.5,270,68.1,52,6,18,1,79,18,17,1.02,2.78,2017
マイコラス,巨人,2.25,27,14,8,0,0,0.636,745,188.0,162,10,23,11,187,53,47,0.98,2.36,2017
国吉　佑樹,DeNA,2.25,4,0,0,0,0,0.0,30,8.0,5,0,4,0,3,2,2,1.13,3.87,2017
藤平　尚真,楽天,2.28,8,3,4,0,0,0.429,176,43.1,30,2,15,4,44,12,11,1.04,3.00,2017
ジョーダン,中日,2.30,18,6,4,0,0,0.6,310,74.1,52,2,35,6,66,25,19,1.17,3.35,2017
牧田　和久,西武,2.30,58,3,3,0,28,0.5,248,62.2,59,4,5,3,35,18,16,1.02,3.22,2017
青山　浩二,楽天,2.30,17,1,1,0,3,0.5,68,15.2,12,1,6,3,16,4,4,1.15,3.63,2017
今村　猛,広島,2.38,68,3,5,23,17,0.375,270,64.1,53,6,27,0,69,19,17,1.24,3.45,2017
榎下　陽大,日本ハム,2.38,8,0,1,0,0,0.0,51,11.1,14,1,4,0,6,3,3,1.59,4.27,2017
メッセンジャー,阪神,2.39,22,11,5,0,0,0.688,594,143.0,134,5,44,1,155,42,38,1.24,2.35,2017
岩崎　優,阪神,2.39,66,4,1,0,15,0.8,311,71.2,63,2,27,5,88,28,19,1.26,2.32,2017
増井　浩俊,日本ハム,2.39,52,6,1,27,7,0.857,215,52.2,47,6,11,0,82,15,14,1.10,2.06,2017
増田　達至,西武,2.40,57,1,5,28,4,0.167,220,56.1,41,7,13,0,58,17,15,0.96,3.26,2017
平井　克典,西武,2.40,42,2,0,0,4,1.0,184,45.0,43,4,10,3,42,15,12,1.18,3.28,2017
カミネロ,巨人,2.42,57,3,5,29,4,0.375,268,63.1,56,4,23,4,65,21,17,1.25,3.17,2017
飯田　優也,ソフトバンク,2.42,19,0,0,0,2,0.0,98,22.1,18,2,15,2,17,6,6,1.48,5.05,2017
和田　毅,ソフトバンク,2.49,8,4,0,0,0,1.0,181,47.0,34,1,8,0,34,13,13,0.89,2.46,2017
モイネロ,ソフトバンク,2.52,34,4,3,1,15,0.571,141,35.2,21,1,14,2,36,15,10,0.98,2.73,2017
鍵谷　陽平,日本ハム,2.53,60,2,3,1,17,0.4,218,57.0,33,6,17,0,46,23,16,0.88,3.77,2017
則本　昂大,楽天,2.57,25,15,7,0,0,0.682,750,185.2,148,11,48,3,222,63,53,1.06,2.31,2017
祖父江　大輔,中日,2.57,35,2,2,1,9,0.5,173,42.0,38,1,17,0,26,12,12,1.31,3.41,2017
薮田　和樹,広島,2.58,38,15,3,0,3,0.833,536,129.0,102,10,51,4,115,42,37,1.19,3.62,2017
玉井　大翔,日本ハム,2.59,24,1,2,0,1,0.333,99,24.1,17,2,7,3,12,8,7,0.99,4.44,2017
高木　勇人,巨人,2.63,16,1,2,0,1,0.333,108,27.1,20,4,5,3,15,9,8,0.91,4.80,2017
東浜　巨,ソフトバンク,2.64,24,16,5,0,0,0.762,637,160.0,135,17,44,1,139,48,47,1.12,3.61,2017
千賀　滉大,ソフトバンク,2.64,22,13,4,0,0,0.765,572,143.0,107,15,46,2,151,47,42,1.07,3.38,2017
平野　佳寿,オリックス,2.67,58,3,7,29,8,0.3,240,57.1,57,5,16,1,47,19,17,1.27,3.50,2017
ヘルメン,オリックス,2.68,44,2,1,3,13,0.667,210,47.0,44,4,24,2,51,16,14,1.45,3.52,2017
パットン,DeNA,2.70,62,4,3,7,27,0.571,247,60.0,50,4,19,2,66,19,18,1.15,2.69,2017
中田　廉,広島,2.70,53,2,4,0,13,0.333,196,46.2,37,4,20,1,50,15,14,1.22,3.25,2017
公文　克彦,日本ハム,2.70,41,3,0,0,3,1.0,154,36.2,39,2,8,2,33,11,11,1.28,2.68,2017
ドリス,阪神,2.71,63,4,4,37,5,0.5,259,63.0,53,1,17,1,85,22,19,1.11,1.44,2017
ハーマン,楽天,2.72,56,3,1,1,33,0.75,222,53.0,48,8,13,3,58,20,16,1.15,3.80,2017
吉田　一将,オリックス,2.72,29,2,1,0,6,0.667,166,43.0,25,6,14,0,31,13,13,0.91,4.40,2017
マテオ,阪神,2.75,63,7,4,0,36,0.636,252,59.0,49,2,17,3,62,26,18,1.12,2.48,2017
岸　孝之,楽天,2.76,26,8,10,0,0,0.444,703,176.1,141,19,38,3,189,56,54,1.02,3.04,2017
嘉弥真　新也,ソフトバンク,2.76,58,2,0,0,14,1.0,143,32.2,31,1,11,5,47,11,10,1.29,2.11,2017
村田　透,日本ハム,2.77,15,1,2,0,0,0.333,225,52.0,43,4,27,4,39,18,16,1.35,4.41,2017
野村　祐輔,広島,2.78,25,9,5,0,0,0.643,645,155.1,152,12,38,4,106,53,48,1.22,3.57,2017
小川　泰弘,ヤクルト,2.83,22,8,7,0,1,0.533,509,124.0,104,11,39,0,109,42,39,1.15,3.46,2017
シュリッター,西武,2.83,64,1,5,0,32,0.167,269,63.2,58,1,29,0,23,22,20,1.37,3.92,2017
田島　慎二,中日,2.87,63,2,5,34,6,0.286,249,62.2,40,6,25,3,46,20,20,1.04,4.19,2017
有吉　優樹,ロッテ,2.87,53,2,5,1,16,0.286,222,53.1,48,4,14,3,27,17,17,1.16,4.04,2017
田原　誠次,巨人,2.89,27,1,1,0,1,0.5,123,28.0,28,4,11,2,17,9,9,1.39,4.83,2017
西宮　悠介,楽天,2.89,8,1,0,0,0,1.0,37,9.1,6,1,4,0,10,3,3,1.07,3.66,2017
内　竜也,ロッテ,2.94,50,5,1,16,11,0.833,211,49.0,36,5,28,0,44,16,16,1.31,4.12,2017
ルーキ,ヤクルト,2.97,61,4,6,7,22,0.4,257,60.2,54,6,19,2,70,24,20,1.20,3.04,2017
今永　昇太,DeNA,2.98,24,11,7,0,0,0.611,600,148.0,115,13,52,5,140,49,49,1.13,3.48,2017
ウィーランド,DeNA,2.98,21,10,2,0,0,0.833,541,133.0,114,14,37,2,112,46,44,1.14,3.68,2017
秋山　拓巳,阪神,2.99,25,12,6,0,0,0.667,638,159.1,158,15,16,6,123,56,53,1.09,3.21,2017
畠　世周,巨人,2.99,13,6,4,0,0,0.6,288,72.1,53,9,23,2,72,27,24,1.05,3.78,2017
ブレイシア,広島,3.00,26,2,1,1,2,0.667,132,30.0,32,3,8,0,19,13,10,1.33,3.95,2017
岸田　護,オリックス,3.00,4,0,0,0,0,0.0,27,6.0,5,1,3,1,4,2,2,1.33,5.95,2017
田口　麗斗,巨人,3.01,26,13,4,0,0,0.765,709,170.2,159,14,49,4,122,59,57,1.22,3.67,2017
石山　泰稚,ヤクルト,3.03,66,3,6,0,24,0.333,285,68.1,63,5,17,1,76,29,23,1.17,2.51,2017
森福　允彦,巨人,3.05,30,1,3,0,6,0.25,87,20.2,23,3,7,0,18,8,7,1.45,4.28,2017
近藤　大亮,オリックス,3.07,55,1,1,1,25,0.5,228,55.2,42,6,18,2,71,21,19,1.08,3.05,2017
村中　恭兵,ヤクルト,3.07,13,0,0,0,0,0.0,61,14.2,4,0,15,0,6,6,5,1.30,5.17,2017
大谷　智久,ロッテ,3.12,55,3,2,0,23,0.6,214,52.0,47,5,14,1,33,20,18,1.17,3.97,2017
酒居　知史,ロッテ,3.13,19,5,1,0,1,0.833,315,74.2,75,11,20,3,48,28,26,1.27,4.67,2017
武隈　祥太,西武,3.14,58,5,2,0,13,0.714,234,57.1,47,3,16,3,36,21,20,1.10,3.54,2017
笠原　祥太郎,中日,3.14,18,1,3,0,0,0.25,206,48.2,38,4,21,7,43,17,17,1.21,4.09,2017
大谷　翔平,日本ハム,3.20,5,3,2,0,0,0.6,105,25.1,13,2,19,0,29,9,9,1.26,4.11,2017
青柳　晃洋,阪神,3.22,12,4,4,0,0,0.5,282,64.1,53,2,28,10,50,32,23,1.26,3.74,2017
松永　昂大,ロッテ,3.22,50,1,3,0,18,0.25,153,36.1,33,1,12,1,31,16,13,1.24,2.76,2017
バンデンハーク,ソフトバンク,3.24,25,13,7,0,0,0.65,623,153.0,127,18,47,2,162,57,55,1.14,3.49,2017
ディクソン,オリックス,3.24,25,8,9,0,0,0.471,581,136.0,144,7,42,3,86,63,49,1.37,3.45,2017
比嘉　幹貴,オリックス,3.24,8,0,1,0,1,0.0,31,8.1,6,2,0,0,12,3,3,0.72,3.36,2017
美馬　学,楽天,3.26,26,11,8,0,0,0.579,684,171.1,155,18,33,4,134,66,62,1.10,3.55,2017
石川　柊太,ソフトバンク,3.29,34,8,3,0,1,0.727,409,98.1,69,11,50,7,99,38,36,1.21,4.30,2017
チェン・グァンユウ,ロッテ,3.29,27,3,4,0,4,0.429,270,63.0,56,5,32,0,59,26,23,1.40,3.80,2017
谷元　圭介,日本ハム,3.31,36,0,2,1,21,0.0,141,32.2,26,3,16,1,24,15,12,1.29,4.22,2017
宮西　尚生,日本ハム,3.32,51,4,5,0,25,0.444,164,40.2,34,3,12,0,24,19,15,1.13,3.78,2017
田中　豊樹,日本ハム,3.32,19,0,0,0,3,0.0,86,19.0,19,2,8,2,23,8,7,1.42,3.65,2017
秋吉　亮,ヤクルト,3.35,43,5,6,10,10,0.455,177,43.0,38,3,11,1,39,17,16,1.14,2.98,2017
池田　駿,巨人,3.35,33,0,2,0,4,0.0,157,37.2,31,2,15,1,33,14,14,1.22,3.33,2017
堀　瑞輝,日本ハム,3.38,4,0,1,0,0,0.0,31,8.0,8,3,1,0,7,3,3,1.13,6.62,2017
二木　康太,ロッテ,3.39,23,7,9,0,0,0.438,588,143.1,136,14,35,2,128,58,54,1.19,3.34,2017
十亀　剣,西武,3.40,20,8,7,0,0,0.533,500,116.1,125,10,35,3,83,50,44,1.38,3.79,2017
石田　健大,DeNA,3.40,18,6,6,0,0,0.5,436,106.0,90,10,34,0,103,43,40,1.17,3.37,2017
西　勇輝,オリックス,3.44,17,5,6,0,0,0.455,483,117.2,108,14,29,7,88,46,45,1.16,4.09,2017
多和田　真三郎,西武,3.44,16,5,5,0,0,0.5,411,96.2,93,11,26,8,74,39,37,1.23,4.12,2017
上沢　直之,日本ハム,3.44,15,4,9,0,0,0.308,388,91.2,84,11,32,2,74,39,35,1.27,4.15,2017
エスコバー,DeNA,3.44,27,1,3,2,7,0.25,147,34.0,33,4,11,1,33,15,13,1.29,3.77,2017
大山　暁史,オリックス,3.46,32,1,0,0,6,1.0,110,26.0,21,0,11,1,30,12,10,1.23,2.20,2017
金子　千尋,オリックス,3.47,27,12,8,0,0,0.6,754,184.1,160,21,56,2,141,80,71,1.17,4.02,2017
松岡　健一,ヤクルト,3.51,37,0,1,0,8,0.0,137,33.1,31,5,11,2,28,13,13,1.26,4.56,2017
加藤　貴之,日本ハム,3.53,21,6,6,0,0,0.5,521,120.0,125,13,38,1,99,51,47,1.36,3.85,2017
西村　健太朗,巨人,3.56,45,0,2,0,10,0.0,196,48.0,44,5,14,2,34,19,19,1.21,4.00,2017
濵口　遥大,DeNA,3.57,22,10,6,0,0,0.625,546,123.2,116,9,69,2,136,54,49,1.50,3.59,2017
久保　裕也,楽天,3.60,27,3,1,0,6,0.75,127,30.0,21,1,18,3,17,12,12,1.30,4.52,2017
土肥　寛昌,ヤクルト,3.60,4,0,0,0,0,0.0,23,5.0,5,1,2,0,6,2,2,1.40,4.52,2017
ギルメット,ヤクルト,3.62,28,1,1,0,2,0.5,228,54.2,49,4,15,2,57,23,22,1.17,2.86,2017
篠原　慎平,巨人,3.62,23,1,1,0,0,0.5,117,27.1,25,2,14,1,19,13,11,1.43,4.33,2017
野上　亮磨,西武,3.63,24,11,10,0,0,0.524,577,144.0,128,10,24,5,113,62,58,1.06,3.04,2017
九里　亜蓮,広島,3.64,35,9,5,0,2,0.643,494,116.1,111,7,44,4,97,51,47,1.33,3.47,2017
大瀬良　大地,広島,3.65,24,10,2,0,0,0.833,617,145.2,143,12,43,1,109,68,59,1.28,3.60,2017
ブキャナン,ヤクルト,3.66,25,6,13,0,0,0.316,678,159.2,158,19,56,9,112,75,65,1.34,4.47,2017
高梨　裕稔,日本ハム,3.68,22,7,7,0,0,0.5,504,117.1,110,13,40,3,100,51,48,1.28,3.93,2017
武田　翔太,ソフトバンク,3.68,13,6,4,0,0,0.6,316,71.0,68,10,33,5,60,35,29,1.42,4.87,2017
武田　久,日本ハム,3.68,7,0,0,0,0,0.0,36,7.1,11,1,3,0,3,4,3,1.91,5.30,2017
山田　大樹,ソフトバンク,3.68,2,1,0,0,0,1.0,32,7.1,7,1,4,0,4,3,3,1.50,5.44,2017
能見　篤史,阪神,3.72,23,6,6,0,0,0.5,533,128.1,117,14,40,2,119,57,53,1.22,3.67,2017
ウルフ,西武,3.73,23,9,4,0,0,0.692,532,125.1,132,11,36,1,74,69,52,1.34,3.92,2017
山岡　泰輔,オリックス,3.74,24,8,11,0,0,0.421,618,149.1,136,8,54,2,133,62,62,1.27,3.16,2017
中村　祐太,広島,3.74,15,5,4,0,0,0.556,312,74.2,68,7,26,2,54,33,31,1.26,4.02,2017
バルデス,中日,3.76,23,6,9,0,0,0.4,625,146.0,139,13,47,7,83,73,61,1.27,4.25,2017
関谷　亮太,ロッテ,3.80,10,2,4,0,1,0.333,209,45.0,57,3,17,1,38,21,19,1.64,3.50,2017
大嶺　祐太,ロッテ,3.82,20,2,2,0,0,0.5,142,30.2,33,4,22,0,21,19,13,1.79,5.50,2017
井納　翔一,DeNA,3.84,25,6,10,0,0,0.375,636,152.1,147,9,46,8,93,66,65,1.27,3.71,2017
原　樹理,ヤクルト,3.84,26,3,11,0,0,0.214,554,131.1,133,19,34,6,115,66,56,1.27,4.14,2017
杉浦　稔大,ヤクルト,3.86,5,0,1,0,0,0.0,18,4.2,3,2,1,0,9,2,2,0.86,5.48,2017
伊藤　準規,中日,3.88,39,0,2,0,9,0.0,276,62.2,59,5,33,4,57,28,27,1.47,4.11,2017
森　唯斗,ソフトバンク,3.92,64,2,3,1,33,0.4,265,64.1,61,7,12,1,60,29,28,1.13,3.28,2017
塩見　貴洋,楽天,3.95,8,3,3,0,0,0.5,183,43.1,42,5,12,0,30,19,19,1.25,4.07,2017
メンドーサ,日本ハム,3.97,20,3,7,0,0,0.3,437,99.2,106,9,38,8,56,45,44,1.44,4.52,2017
小林　慶祐,オリックス,3.98,35,2,1,0,1,0.667,174,40.2,36,4,15,2,46,22,18,1.25,3.39,2017
涌井　秀章,ロッテ,3.99,25,5,11,0,0,0.313,675,158.0,156,20,53,7,115,74,70,1.32,4.45,2017
岡田　明丈,広島,4.00,24,12,5,0,0,0.706,604,141.2,134,9,63,4,109,68,63,1.39,3.83,2017
ジョンソン,広島,4.01,13,6,3,0,0,0.667,328,76.1,79,4,25,2,53,40,34,1.36,3.47,2017
大野　雄大,中日,4.02,24,7,8,0,0,0.467,629,147.2,143,17,51,6,117,71,66,1.31,4.19,2017
山口　鉄也,巨人,4.05,18,1,1,0,3,0.5,62,13.1,14,1,8,0,10,6,6,1.65,4.40,2017
佐藤　祥万,広島,4.05,6,0,0,0,0,0.0,30,6.2,6,1,5,0,6,3,3,1.65,5.52,2017
安樂　智大,楽天,4.06,10,1,5,0,0,0.167,221,51.0,59,7,18,4,37,27,23,1.51,4.75,2017
三ツ間　卓也,中日,4.06,35,2,1,0,11,0.667,174,37.2,35,1,27,6,29,17,17,1.65,4.55,2017
中澤　雅人,ヤクルト,4.10,28,0,0,0,0,0.0,110,26.1,27,3,6,0,21,12,12,1.25,3.69,2017
藤浪　晋太郎,阪神,4.12,11,3,5,0,0,0.375,271,59.0,53,5,45,8,41,30,27,1.66,5.53,2017
砂田　毅樹,DeNA,4.12,62,1,2,0,25,0.333,236,54.2,54,5,13,3,49,25,25,1.23,3.34,2017
髙橋　光成,西武,4.12,7,3,4,0,0,0.429,169,39.1,36,3,20,1,30,20,18,1.42,4.19,2017
金田　和之,オリックス,4.15,34,4,1,0,2,0.8,170,39.0,42,3,10,1,34,19,18,1.33,3.22,2017
古川　侑利,楽天,4.15,5,0,2,0,0,0.0,112,26.0,24,1,9,2,15,12,12,1.27,3.74,2017
澤田　圭佑,オリックス,4.15,13,0,2,0,0,0.0,58,13.0,13,2,6,1,5,6,6,1.46,5.97,2017
東明　大貴,オリックス,4.15,3,0,0,0,0,0.0,57,13.0,13,2,5,0,5,6,6,1.38,5.50,2017
藤岡　好明,DeNA,4.15,6,1,0,0,0,1.0,23,4.1,6,0,4,1,3,2,2,2.31,5.20,2017
鈴木　翔太,中日,4.17,15,5,5,0,0,0.5,311,69.0,66,5,42,5,51,39,32,1.57,4.63,2017
辛島　航,楽天,4.19,19,8,8,0,0,0.5,424,103.0,99,11,27,1,74,51,48,1.22,3.89,2017
進藤　拓也,DeNA,4.20,12,0,0,0,0,0.0,73,15.0,18,0,10,2,10,7,7,1.87,4.19,2017
佐々木　千隼,ロッテ,4.22,15,4,7,0,0,0.364,363,85.1,75,9,48,1,59,41,40,1.44,4.83,2017
黒木　優太,オリックス,4.22,55,6,3,2,25,0.667,226,53.1,39,2,26,2,62,26,25,1.22,2.86,2017
岩田　稔,阪神,4.25,10,3,2,0,0,0.6,233,53.0,55,4,22,2,39,26,25,1.45,3.99,2017
寺原　隼人,ソフトバンク,4.25,24,1,2,0,3,0.333,190,42.1,45,4,18,5,28,21,20,1.49,4.66,2017
伊藤　和雄,阪神,4.26,9,0,0,0,0,0.0,55,12.2,13,1,4,1,10,7,6,1.34,3.75,2017
飯塚　悟史,DeNA,4.29,9,1,3,0,1,0.25,186,42.0,41,9,21,4,27,22,20,1.48,6.33,2017
加藤　拓也,広島,4.30,7,1,3,0,0,0.25,136,29.1,20,2,31,1,28,14,14,1.74,5.37,2017
