player,team,ERA,G,W,L,SV,HLD,WPCT,BF,IP,HA,HRA,BB,HBP,SO,R,ER,WHIP,DIPS,year
ヒース,広島,2.36,43,3,6,4,10,0.333,205,49.2,43,3,19,0,59,14,13,1.25,2.62,2015
西　勇輝,オリックス,2.38,24,10,6,0,0,0.625,655,162.2,140,11,43,6,143,46,43,1.13,3.14,2015
大谷　智久,ロッテ,2.39,56,3,1,0,32,0.75,250,64.0,57,4,5,2,53,21,17,0.97,2.60,2015
藤浪　晋太郎,阪神,2.40,28,14,7,0,0,0.667,840,199.0,162,9,82,11,221,70,53,1.23,2.89,2015
ロマン,ヤクルト,2.40,61,5,5,0,23,0.5,330,78.2,66,2,35,3,58,25,21,1.28,3.35,2015
ザガースキー,広島,2.40,19,0,0,0,6,0.0,66,15.0,13,1,7,0,16,5,4,1.33,3.25,2015
国吉　佑樹,DeNA,2.43,28,3,2,1,0,0.6,138,33.1,22,1,16,3,28,10,9,1.14,3.54,2015
ディクソン,オリックス,2.48,20,9,9,0,0,0.5,538,130.2,119,3,44,1,88,39,36,1.25,3.08,2015
小松　聖,オリックス,2.51,12,0,0,1,1,0.0,53,14.1,7,1,5,1,13,4,4,0.84,3.47,2015
大野　雄大,中日,2.52,28,11,10,0,1,0.524,826,207.1,169,12,47,3,154,67,58,1.04,3.10,2015
バンデンハーク,ソフトバンク,2.52,15,9,0,0,0,1.0,369,93.0,69,6,22,4,120,27,26,0.98,2.22,2015
大隣　憲司,ソフトバンク,2.54,11,5,4,0,0,0.556,300,74.1,62,9,15,6,35,25,21,1.04,4.60,2015
黒田　博樹,広島,2.55,26,11,8,0,0,0.579,685,169.2,158,8,29,7,106,53,48,1.10,3.12,2015
久古　健太郎,ヤクルト,2.55,38,0,0,0,8,0.0,102,24.2,23,1,9,1,23,7,7,1.30,3.00,2015
岸田　護,オリックス,2.56,50,4,3,0,15,0.571,213,52.2,46,2,13,1,54,17,15,1.12,2.36,2015
二神　一人,阪神,2.57,12,0,0,0,0,0.0,58,14.0,11,1,5,1,17,4,4,1.14,2.91,2015
海田　智行,オリックス,2.61,48,2,2,0,8,0.5,180,41.1,38,3,15,2,27,15,12,1.28,3.85,2015
マシソン,巨人,2.62,63,3,8,2,28,0.273,244,58.1,47,5,21,2,55,22,17,1.17,3.53,2015
